ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,158.65,159.85,158.55,159.45,5627,69.23,69.23,69.23,0.0,0.0,0.0,159.45,159.45,159.45,159.45,159.45
2024-04-09,160.0,163.35,159.9,163.25,8098,97.92,78.79,72.42,0.33,0.06,0.27,161.35,161.35,161.35,161.35,161.35
2024-04-10,162.75,163.3,162.45,163.0,5239,92.71,83.43,76.09,0.55,0.15,0.4,161.9,161.9,161.9,161.9,161.9
2024-04-11,162.05,162.5,161.65,162.5,4285,82.29,83.05,78.41,0.65,0.24,0.41,162.05,162.05,162.05,162.05,162.05
2024-04-12,162.6,162.8,161.95,162.1,5816,73.96,80.02,78.95,0.69,0.32,0.37,162.06,162.06,162.06,162.06,162.06
2024-04-15,160.25,160.55,159.6,160.0,7854,10.67,56.9,71.6,0.52,0.36,0.16,162.17,161.72,161.72,161.72,161.72
2024-04-16,158.3,158.3,154.75,155.65,16589,10.53,41.44,61.55,0.01,0.29,-0.29,160.65,160.85,160.85,160.85,160.85
2024-04-17,155.95,157.7,155.9,157.4,7670,32.92,38.6,53.9,-0.22,0.2,-0.42,159.53,160.42,160.42,160.42,160.42
2024-04-18,156.35,158.95,155.8,158.95,6519,52.17,43.13,50.31,-0.25,0.12,-0.37,158.82,160.26,160.26,160.26,160.26
2024-04-19,154.1,154.15,149.5,150.9,30298,12.67,32.97,44.53,-0.96,-0.08,-0.89,156.58,159.32,159.32,159.32,159.32
2024-04-22,150.4,151.75,149.7,150.45,9177,10.05,25.33,38.13,-1.52,-0.34,-1.18,154.67,158.42,158.51,158.51,158.51
2024-04-23,152.15,152.45,151.3,151.9,5381,25.4,25.35,33.87,-1.77,-0.6,-1.17,153.92,157.28,157.96,157.96,157.96
2024-04-24,154.0,156.5,154.0,156.35,7643,72.49,41.07,36.27,-1.55,-0.77,-0.77,153.71,156.62,157.84,157.84,157.84
2024-04-25,154.1,154.45,153.25,153.5,4690,57.14,46.42,39.65,-1.6,-0.92,-0.68,152.62,155.72,157.53,157.53,157.53
2024-04-26,156.0,156.8,155.5,156.0,5729,88.73,60.53,46.61,-1.39,-1.01,-0.38,153.64,155.11,157.43,157.43,157.43
2024-04-29,157.3,159.1,157.3,158.8,7617,96.15,72.4,55.21,-0.97,-1.0,0.03,155.31,154.99,157.51,157.51,157.51
2024-04-30,158.6,159.35,158.25,158.25,4453,81.97,75.59,62.0,-0.7,-0.95,0.25,156.58,155.25,157.56,157.56,157.56
2024-05-02,157.35,157.35,156.0,156.15,6197,47.54,66.24,63.42,-0.66,-0.89,0.24,156.54,155.12,157.48,157.48,157.48
2024-05-03,158.55,158.65,156.45,156.95,5674,37.66,56.71,61.18,-0.55,-0.83,0.28,157.23,154.93,157.45,157.45,157.45
2024-05-06,159.0,160.15,159.0,159.2,8562,77.11,63.51,61.96,-0.27,-0.73,0.46,157.87,155.76,157.54,157.54,157.54
2024-05-07,160.25,160.55,159.5,160.1,6191,90.11,72.38,65.43,0.03,-0.59,0.62,158.13,156.72,157.57,157.66,157.66
2024-05-08,160.0,160.8,159.65,160.7,5925,97.92,80.89,70.59,0.29,-0.43,0.73,158.62,157.6,157.44,157.8,157.8
2024-05-09,160.75,161.25,160.4,160.5,5046,84.38,82.05,74.41,0.47,-0.27,0.74,159.49,158.02,157.32,157.92,157.92
2024-05-10,161.25,162.1,160.55,161.65,9623,85.48,83.2,77.34,0.69,-0.09,0.78,160.43,158.83,157.28,158.07,158.07
2024-05-13,163.35,163.9,162.95,163.3,9088,86.36,84.25,79.64,0.99,0.1,0.88,161.25,159.56,157.33,158.28,158.28
2024-05-14,163.2,164.45,162.7,164.4,7697,98.96,89.15,82.81,1.28,0.32,0.97,162.11,160.12,157.56,158.52,158.52
2024-05-15,165.6,167.85,165.5,166.65,14543,83.89,87.4,84.34,1.68,0.57,1.11,163.3,160.96,158.11,158.82,158.82
2024-05-16,168.95,169.75,167.1,167.45,12036,75.0,83.27,83.98,2.01,0.83,1.18,164.69,162.09,158.61,159.12,159.12
2024-05-17,167.55,167.7,166.7,167.25,4652,64.54,77.02,81.66,2.2,1.08,1.12,165.81,163.12,159.02,159.41,159.41
2024-05-20,167.25,167.4,165.3,167.2,6729,63.83,72.63,78.65,2.3,1.3,1.0,166.59,163.92,159.84,159.66,159.66
2024-05-21,166.4,167.15,165.85,167.0,4317,38.2,61.15,72.82,2.32,1.48,0.83,167.11,164.61,160.66,159.9,159.9
2024-05-22,167.2,170.0,167.2,170.0,6365,100.0,74.1,73.25,2.55,1.68,0.87,167.78,165.54,161.57,160.22,160.22
2024-05-23,170.3,171.45,170.0,171.3,5970,97.56,81.92,76.14,2.79,1.88,0.91,168.55,166.62,162.32,160.55,160.55
2024-05-24,169.3,170.8,169.3,170.6,3633,86.18,83.34,78.54,2.86,2.06,0.8,169.22,167.52,163.17,160.85,160.85
2024-05-27,171.75,173.4,171.75,172.95,5655,94.04,86.91,81.33,3.06,2.24,0.82,170.37,168.48,164.02,161.19,161.19
2024-05-28,172.95,173.4,172.5,173.2,5494,96.77,90.2,84.28,3.18,2.41,0.77,171.61,169.36,164.74,161.53,161.53
