ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-02-10,242.4,242.4,239.2,240.8,3419,50.0,50.0,50.0,0.0,0.0,0.0,240.8,240.8,240.8,240.8,240.8
2025-02-11,244.5,245.9,242.05,242.75,2885,52.99,51.0,50.33,0.17,0.03,0.14,241.78,241.78,241.78,241.78,241.78
2025-02-12,245.2,246.55,242.05,242.2,3180,40.82,47.6,49.42,0.24,0.07,0.17,241.92,241.92,241.92,241.92,241.92
2025-02-13,241.8,244.15,241.0,243.95,2782,64.63,53.28,50.71,0.45,0.14,0.31,242.42,242.42,242.42,242.42,242.42
2025-02-14,241.55,241.55,238.2,239.0,3766,9.58,38.71,46.71,0.16,0.14,0.02,241.74,241.74,241.74,241.74,241.74
2025-02-17,241.95,246.4,241.95,246.35,6463,97.6,58.34,50.59,0.58,0.22,0.36,242.85,242.51,242.51,242.51,242.51
2025-02-18,246.45,248.55,245.25,248.55,2481,100.0,72.23,57.8,1.07,0.38,0.7,244.01,243.37,243.37,243.37,243.37
2025-02-19,247.95,249.4,247.0,247.5,2344,83.04,75.83,63.81,1.33,0.55,0.78,245.07,243.89,243.89,243.89,243.89
2025-02-20,246.4,246.7,243.0,245.9,2561,68.75,73.47,67.03,1.36,0.7,0.66,245.46,244.11,244.11,244.11,244.11
2025-02-21,245.6,250.5,245.15,250.45,4430,99.42,82.12,72.06,1.75,0.89,0.86,247.75,244.74,244.74,244.74,244.74
2025-02-24,245.15,246.95,244.5,246.95,3043,52.67,72.3,72.14,1.7,1.04,0.67,247.87,245.36,244.95,244.95,244.95
2025-02-25,242.0,242.1,238.2,241.0,5854,22.76,55.79,66.69,1.12,1.05,0.07,246.36,245.18,244.62,244.62,244.62
2025-02-26,239.0,243.2,237.4,243.15,4012,43.89,51.82,61.73,0.86,1.02,-0.15,245.49,245.28,244.5,244.5,244.5
2025-02-27,243.5,244.05,237.9,238.45,5352,8.02,37.22,53.56,0.25,0.88,-0.63,244.0,244.73,244.07,244.07,244.07
2025-03-03,230.0,231.0,227.35,229.45,14895,10.71,28.39,45.17,-0.99,0.54,-1.53,239.8,243.78,243.1,243.1,243.1
2025-03-04,221.6,228.0,220.9,226.95,8209,26.13,27.63,39.33,-2.11,0.06,-2.16,235.8,241.83,242.09,242.09,242.09
2025-03-05,231.1,233.1,229.1,232.6,5132,50.54,35.27,37.97,-2.41,-0.39,-2.02,234.12,240.24,241.53,241.53,241.53
2025-03-06,233.05,233.1,228.9,229.65,4090,37.8,36.11,37.35,-2.84,-0.84,-2.01,231.42,238.46,240.87,240.87,240.87
2025-03-07,226.35,228.45,224.5,225.4,5068,36.89,36.37,37.03,-3.48,-1.32,-2.17,228.81,236.41,240.06,240.06,240.06
2025-03-10,225.45,225.55,221.1,223.75,4768,23.36,32.03,35.36,-4.04,-1.81,-2.23,227.67,233.74,239.24,239.24,239.24
2025-03-11,213.6,216.2,208.1,215.5,12815,29.6,31.22,33.98,-5.1,-2.41,-2.69,225.38,230.59,237.98,238.11,238.11
2025-03-12,216.7,221.2,215.9,217.85,4329,39.0,33.81,33.93,-5.59,-2.99,-2.6,222.43,228.28,236.73,237.19,237.19
2025-03-13,223.4,223.8,213.95,213.95,5990,28.75,32.13,33.33,-6.19,-3.57,-2.62,219.29,225.36,235.32,236.18,236.18
2025-03-14,214.85,215.35,212.2,213.8,3714,32.66,32.31,32.99,-6.55,-4.11,-2.43,216.97,222.89,233.81,235.25,235.25
2025-03-17,218.5,220.4,216.75,217.3,3947,58.6,41.07,35.68,-6.39,-4.53,-1.86,215.68,221.68,232.72,234.53,234.53
2025-03-18,220.25,221.5,218.1,219.05,2723,59.05,47.06,39.47,-6.01,-4.8,-1.22,216.39,220.88,231.36,233.93,233.93
2025-03-19,218.55,219.25,214.2,214.9,3512,23.28,39.13,39.36,-5.99,-5.01,-0.98,215.8,219.12,229.68,233.23,233.23
2025-03-20,219.0,222.45,218.7,222.2,4646,97.56,58.61,45.78,-5.24,-5.05,-0.18,217.45,218.37,228.41,232.83,232.83
2025-03-21,221.15,221.15,217.9,218.2,2384,48.48,55.23,48.93,-4.94,-5.03,0.1,218.33,217.65,227.03,232.33,232.33
2025-03-24,221.45,221.7,216.8,216.85,2549,32.12,47.53,48.46,-4.74,-4.98,0.24,218.24,216.96,225.35,231.81,231.81
2025-03-25,221.5,222.85,218.45,220.25,3682,69.94,55.0,50.64,-4.22,-4.84,0.62,218.48,217.44,224.01,231.44,231.44
2025-03-26,221.45,222.5,219.3,220.7,2219,64.46,58.15,53.15,-3.73,-4.64,0.91,219.64,217.72,223.0,231.1,231.1
2025-03-27,214.05,214.65,212.5,213.3,6130,7.73,41.35,49.21,-3.94,-4.51,0.58,217.86,217.66,221.5,230.57,230.57
2025-03-28,210.0,210.2,204.55,206.1,9020,8.47,30.39,42.94,-4.65,-4.54,-0.11,215.44,216.88,219.89,229.85,229.85
2025-03-31,194.25,196.25,190.2,191.0,14515,2.45,21.08,35.65,-6.4,-4.88,-1.52,210.27,214.25,217.96,228.74,228.74
2025-04-01,193.75,199.95,193.25,199.05,7287,27.4,23.18,31.49,-6.89,-5.24,-1.65,206.03,212.26,216.57,227.91,227.91
2025-04-02,199.5,201.5,198.4,200.3,4325,41.31,29.23,30.74,-7.02,-5.57,-1.46,201.95,210.8,214.96,227.16,227.16
2025-04-07,160.25,160.25,160.25,160.25,2711,0.0,19.48,26.99,-10.47,-6.46,-4.01,191.34,204.6,211.48,225.4,225.4
2025-04-08,149.15,154.0,138.7,142.3,57306,5.73,14.9,22.96,-14.39,-7.9,-6.49,178.58,197.01,207.33,223.27,223.27
2025-04-09,140.5,143.65,125.15,126.45,46027,1.7,10.5,18.81,-18.42,-9.81,-8.61,165.67,187.97,202.46,220.85,220.85
