ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,196.85,206.6,196.5,204.05,11476.0,74.75,74.75,74.75,0.0,0.0,0.0,204.05,204.05,204.05,204.05,204.05
2024-04-15,200.65,200.9,174.35,179.0,35029.0,14.42,54.64,68.05,-2.17,-0.39,-1.77,191.52,191.52,191.52,191.52,191.52
2024-04-22,179.0,192.45,177.5,190.6,17854.0,50.39,53.22,63.11,-2.73,-0.82,-1.91,191.22,191.22,191.22,191.22,191.22
2024-04-29,195.15,198.3,192.0,194.0,11914.0,60.93,55.79,60.67,-2.81,-1.18,-1.63,191.91,191.91,191.91,191.91,191.91
2024-05-06,199.3,203.35,197.65,202.65,8708.0,87.75,66.45,62.59,-2.07,-1.34,-0.72,194.06,194.06,194.06,194.06,194.06
2024-05-13,205.85,217.9,203.7,213.35,10186.0,89.55,74.15,66.45,-0.56,-1.2,0.64,195.92,197.28,197.28,197.28,197.28
2024-05-20,214.65,220.15,209.8,218.95,11597.0,97.19,81.83,71.57,1.06,-0.79,1.85,203.91,200.37,200.37,200.37,200.37
2024-05-27,222.25,227.15,212.1,212.1,17222.0,57.18,73.61,72.25,1.64,-0.35,1.99,208.21,201.84,201.84,201.84,201.84
2024-06-03,217.7,225.95,211.1,223.7,17872.0,88.31,78.51,74.34,3.05,0.27,2.78,214.15,204.27,204.27,204.27,204.27
2024-06-11,224.6,237.2,222.7,237.1,11352.0,99.7,85.57,78.08,5.2,1.17,4.03,221.04,207.55,207.55,207.55,207.55
2024-06-17,236.55,259.15,236.0,256.05,15476.0,93.72,88.29,81.49,8.34,2.47,5.87,229.58,212.75,211.96,211.96,211.96
2024-06-24,251.2,253.65,238.2,250.8,21120.0,82.62,86.4,83.12,10.07,3.85,6.21,235.95,219.93,215.2,215.2,215.2
2024-07-01,251.7,265.9,245.15,263.2,18601.0,95.07,89.29,85.18,12.24,5.38,6.87,246.17,227.19,218.89,218.89,218.89
2024-07-08,264.0,282.9,263.1,269.5,27621.0,77.74,85.44,85.27,14.19,6.98,7.21,255.33,234.74,222.5,222.5,222.5
2024-07-15,273.5,277.0,247.95,248.25,29694.0,26.12,65.67,78.73,13.54,8.17,5.37,257.56,239.3,224.22,224.22,224.22
2024-07-22,246.05,247.4,226.7,231.65,29584.0,8.81,46.71,68.06,11.39,8.76,2.64,252.68,241.13,224.68,224.68,224.68
2024-07-29,238.0,243.1,219.0,219.0,41550.0,0.0,31.14,55.75,8.51,8.71,-0.2,246.32,241.14,224.35,224.35,224.35
2024-08-05,195.75,215.05,176.9,211.7,101773.0,32.83,31.71,47.74,5.6,8.15,-2.55,236.02,241.1,223.65,223.65,223.65
2024-08-12,215.6,231.95,215.5,230.9,37031.0,53.95,39.12,44.86,5.0,7.57,-2.57,228.3,241.81,224.03,224.03,224.03
2024-08-19,231.0,234.75,221.4,226.65,25392.0,70.57,49.6,46.44,4.11,6.95,-2.83,223.98,240.77,224.16,224.16,224.16
2024-08-26,230.15,232.95,222.8,229.9,24572.0,80.06,59.75,50.88,3.66,6.35,-2.69,223.63,238.15,225.45,224.43,224.43
2024-09-02,232.55,233.05,199.95,210.65,41526.0,58.34,59.28,53.68,1.6,5.48,-3.89,221.96,234.14,227.04,223.81,223.81
2024-09-09,201.15,218.7,200.2,218.7,37655.0,53.88,57.48,54.95,0.74,4.62,-3.88,223.36,229.69,228.44,223.58,223.58
2024-09-16,219.0,231.0,215.0,226.05,19717.0,75.0,63.32,57.74,0.73,3.91,-3.19,222.39,225.34,230.04,223.69,223.69
2024-09-23,228.6,246.55,225.5,241.5,24614.0,89.16,71.94,62.47,2.04,3.57,-1.53,225.36,224.67,231.98,224.4,224.4
2024-09-30,237.35,237.8,227.25,228.1,22626.0,60.41,68.09,64.35,1.82,3.25,-1.43,225.0,224.32,232.72,224.54,224.54
2024-10-07,233.9,243.35,230.25,241.55,22393.0,89.21,75.13,67.94,2.79,3.17,-0.38,231.18,226.57,233.85,225.17,225.17
2024-10-14,241.35,258.45,239.05,253.9,32730.0,89.53,79.93,71.94,4.53,3.42,1.11,238.22,230.79,235.94,226.2,226.2
2024-10-21,257.8,258.05,245.85,250.5,19892.0,75.87,78.58,74.15,5.44,3.79,1.66,243.11,232.75,237.28,227.04,227.04
