ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,ma5.1,ma10.1,ma20.1,ma60.1,ma120.1,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,18.74,18.99,18.72,18.96,4131,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,88.89,88.89,88.89,0.0,0.0,0.0,18.96,18.96,18.96,18.96,18.96
2024-04-09,19.2,19.2,19.13,19.13,2166,19.05,19.05,19.05,19.05,19.05,19.05,19.05,19.05,19.05,19.05,85.42,87.73,88.5,0.01,0.0,0.01,19.05,19.05,19.05,19.05,19.05
2024-04-10,18.88,18.89,18.84,18.85,2508,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,27.08,67.52,81.51,0.0,0.0,-0.0,18.98,18.98,18.98,18.98,18.98
2024-04-11,19.1,19.17,19.1,19.15,2132,19.02,19.02,19.02,19.02,19.02,19.02,19.02,19.02,19.02,19.02,89.58,74.87,79.3,0.02,0.01,0.01,19.02,19.02,19.02,19.02,19.02
2024-04-12,18.99,19.09,18.98,19.04,1134,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,66.67,72.14,76.91,0.02,0.01,0.01,19.03,19.03,19.03,19.03,19.03
2024-04-15,18.95,19.04,18.9,18.96,2751,19.03,19.02,19.02,19.02,19.02,19.03,19.02,19.02,19.02,19.02,33.33,59.2,71.01,0.01,0.01,0.0,19.03,19.02,19.02,19.02,19.02
2024-04-16,19.14,19.2,19.12,19.17,3220,19.03,19.04,19.04,19.04,19.04,19.03,19.04,19.04,19.04,19.04,91.67,70.02,70.68,0.03,0.01,0.01,19.03,19.04,19.04,19.04,19.04
2024-04-17,19.01,19.01,18.9,18.91,1372,19.05,19.02,19.02,19.02,19.02,19.05,19.02,19.02,19.02,19.02,3.33,47.79,63.05,0.01,0.01,0.0,19.05,19.02,19.02,19.02,19.02
2024-04-18,18.42,18.47,18.4,18.45,3977,18.91,18.96,18.96,18.96,18.96,18.91,18.96,18.96,18.96,18.96,6.25,33.95,53.35,-0.04,0.0,-0.04,18.91,18.96,18.96,18.96,18.96
2024-04-19,18.58,19.2,18.58,18.88,12446,18.87,18.95,18.95,18.95,18.95,18.87,18.95,18.95,18.95,18.95,60.0,42.63,49.78,-0.03,-0.0,-0.03,18.87,18.95,18.95,18.95,18.95
