ts,Open,High,Low,Close,Volume,Amount
2025-02-10 09:03:00,17.17,17.17,17.17,17.17,2,34340.0
2025-02-10 09:05:00,17.19,17.19,17.19,17.19,10,171900.0
2025-02-10 09:06:00,17.19,17.19,17.18,17.18,3,51550.0
2025-02-10 09:08:00,17.19,17.19,17.19,17.19,40,687600.0
2025-02-10 09:09:00,17.19,17.19,17.19,17.19,8,137520.0
2025-02-10 09:11:00,17.19,17.19,17.19,17.19,6,103140.0
2025-02-10 09:12:00,17.2,17.2,17.2,17.2,7,120400.0
2025-02-10 09:13:00,17.2,17.2,17.2,17.2,1,17200.0
2025-02-10 09:15:00,17.2,17.2,17.2,17.2,1,17200.0
2025-02-10 09:16:00,17.2,17.2,17.2,17.2,4,68800.0
2025-02-10 09:18:00,17.21,17.21,17.21,17.21,7,120470.0
2025-02-10 09:19:00,17.21,17.21,17.2,17.2,9,154840.0
2025-02-10 09:21:00,17.2,17.2,17.2,17.2,1,17200.0
2025-02-10 09:23:00,17.21,17.21,17.21,17.21,1,17210.0
2025-02-10 09:25:00,17.21,17.22,17.2,17.2,9,154890.0
2025-02-10 09:28:00,17.2,17.21,17.2,17.21,4,68810.0
2025-02-10 09:29:00,17.21,17.21,17.21,17.21,1,17210.0
2025-02-10 09:31:00,17.21,17.21,17.21,17.21,3,51630.0
2025-02-10 09:33:00,17.21,17.21,17.21,17.21,2,34420.0
2025-02-10 09:34:00,17.21,17.21,17.21,17.21,30,516300.0
2025-02-10 09:35:00,17.21,17.21,17.21,17.21,7,120470.0
2025-02-10 09:37:00,17.2,17.2,17.2,17.2,4,68800.0
2025-02-10 09:38:00,17.2,17.2,17.2,17.2,10,172000.0
2025-02-10 09:39:00,17.2,17.2,17.2,17.2,3,51600.0
2025-02-10 09:42:00,17.2,17.2,17.2,17.2,76,1307200.0
2025-02-10 09:44:00,17.2,17.2,17.2,17.2,9,154800.0
2025-02-10 09:47:00,17.2,17.2,17.2,17.2,32,550400.0
2025-02-10 09:48:00,17.2,17.2,17.19,17.19,4,68770.0
2025-02-10 09:49:00,17.19,17.2,17.19,17.2,53,911580.0
