ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,ma5.1,ma10.1,ma20.1,ma60.1,ma120.1,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,51.9,52.25,51.45,52.2,28120.0,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,93.75,93.75,93.75,0.0,0.0,0.0,52.2,52.2,52.2,52.2,52.2
2024-04-15,51.6,51.75,49.9,50.1,26671.0,51.15,51.15,51.15,51.15,51.15,51.15,51.15,51.15,51.15,51.15,8.51,65.34,84.28,-0.18,-0.03,-0.15,51.15,51.15,51.15,51.15,51.15
2024-04-22,50.15,51.65,50.15,51.65,16235.0,51.32,51.32,51.32,51.32,51.32,51.32,51.32,51.32,51.32,51.32,74.47,68.38,78.98,-0.18,-0.06,-0.12,51.32,51.32,51.32,51.32,51.32
2024-04-29,51.7,52.0,51.05,51.3,11592.0,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,59.57,65.45,74.47,-0.2,-0.09,-0.12,51.31,51.31,51.31,51.31,51.31
2024-05-06,51.55,52.85,51.55,52.85,15491.0,51.62,51.62,51.62,51.62,51.62,51.62,51.62,51.62,51.62,51.62,100.0,76.96,75.3,-0.09,-0.09,0.0,51.62,51.62,51.62,51.62,51.62
2024-05-13,52.8,53.3,52.55,53.25,23571.0,51.83,51.89,51.89,51.89,51.89,51.83,51.89,51.89,51.89,51.89,98.53,84.15,78.25,0.04,-0.06,0.1,51.83,51.89,51.89,51.89,51.89
2024-05-20,53.3,53.65,52.9,52.95,14610.0,52.4,52.04,52.04,52.04,52.04,52.4,52.04,52.04,52.04,52.04,80.0,82.77,79.76,0.1,-0.03,0.14,52.4,52.04,52.04,52.04,52.04
2024-05-27,53.2,53.3,52.7,52.95,12706.0,52.66,52.16,52.16,52.16,52.16,52.66,52.16,52.16,52.16,52.16,73.08,79.54,79.68,0.15,0.0,0.15,52.66,52.16,52.16,52.16,52.16
2024-06-03,53.5,54.1,53.2,54.0,13484.0,53.2,52.36,52.36,52.36,52.36,53.2,52.36,52.36,52.36,52.36,96.08,85.05,81.47,0.27,0.05,0.22,53.2,52.36,52.36,52.36,52.36
2024-06-11,54.1,54.95,54.1,54.8,14769.0,53.59,52.6,52.6,52.6,52.6,53.59,52.6,52.6,52.6,52.6,93.75,87.95,83.63,0.43,0.12,0.31,53.59,52.6,52.6,52.6,52.6
2024-06-17,54.85,55.5,54.65,55.05,26016.0,53.95,52.89,52.83,52.83,52.83,53.95,52.89,52.83,52.83,52.83,83.93,86.61,84.62,0.56,0.2,0.36,53.95,52.89,52.83,52.83,52.83
2024-06-24,55.05,55.75,54.8,55.55,47271.0,54.47,53.44,53.05,53.05,53.05,54.47,53.44,53.05,53.05,53.05,93.44,88.89,86.05,0.69,0.29,0.4,54.47,53.44,53.05,53.05,53.05
