ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,36.9,37.15,36.9,37.15,521,37.15,37.15,37.15,37.15,37.15,100.0,100.0,100.0,0.0,0.0,0.0,37.15,37.15,37.15,37.15,37.15
2024-04-09,37.27,37.51,37.27,37.5,387,37.33,37.33,37.33,37.33,37.33,98.36,99.45,99.82,0.03,0.01,0.02,37.33,37.33,37.33,37.33,37.33
2024-04-10,37.5,37.5,37.33,37.35,352,37.33,37.33,37.33,37.33,37.33,73.77,90.89,96.84,0.04,0.01,0.03,37.33,37.33,37.33,37.33,37.33
2024-04-11,37.47,37.47,37.33,37.33,342,37.33,37.33,37.33,37.33,37.33,70.49,84.09,92.59,0.04,0.02,0.03,37.33,37.33,37.33,37.33,37.33
2024-04-12,37.4,37.54,37.3,37.51,291,37.37,37.37,37.37,37.37,37.37,95.31,87.83,91.01,0.06,0.03,0.04,37.37,37.37,37.37,37.37,37.37
2024-04-15,37.48,37.48,36.68,36.83,777,37.3,37.28,37.28,37.28,37.28,17.44,64.37,82.13,0.01,0.02,-0.01,37.3,37.28,37.28,37.28,37.28
2024-04-16,36.66,36.66,36.33,36.42,790,37.09,37.16,37.16,37.16,37.16,7.44,45.39,69.88,-0.06,0.01,-0.06,37.09,37.16,37.16,37.16,37.16
2024-04-17,36.42,36.59,36.42,36.5,453,36.92,37.07,37.07,37.07,37.07,14.05,34.94,58.24,-0.1,-0.01,-0.09,36.92,37.07,37.07,37.07,37.07
2024-04-18,36.5,36.5,36.36,36.39,418,36.73,37.0,37.0,37.0,37.0,4.96,24.95,47.14,-0.14,-0.03,-0.11,36.73,37.0,37.0,37.0,37.0
2024-04-19,36.35,36.35,35.48,35.77,1188,36.38,36.88,36.88,36.88,36.88,14.5,21.47,38.58,-0.22,-0.07,-0.15,36.38,36.88,36.88,36.88,36.88
2024-04-22,36.1,36.8,36.1,36.67,835,36.35,36.83,36.86,36.86,36.86,90.15,44.36,40.51,-0.2,-0.09,-0.11,36.35,36.83,36.86,36.86,36.86
2024-04-23,36.83,37.17,36.83,37.01,357,36.47,36.78,36.87,36.87,36.87,90.53,59.75,46.92,-0.15,-0.1,-0.05,36.47,36.78,36.87,36.87,36.87
2024-04-24,37.01,37.14,36.97,37.14,186,36.6,36.76,36.89,36.89,36.89,98.22,72.58,55.47,-0.1,-0.1,0.0,36.6,36.76,36.89,36.89,36.89
