ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,25.02,26.06,24.95,25.82,2917,25.82,25.82,25.82,25.82,25.82,78.38,78.38,78.38,0.0,0.0,0.0,25.82,25.82,25.82,25.82,25.82
2024-04-09,25.86,26.1,25.79,25.87,1757,25.84,25.84,25.84,25.84,25.84,80.0,78.92,78.56,0.0,0.0,0.0,25.84,25.84,25.84,25.84,25.84
2024-04-10,26.07,26.2,25.96,26.2,1279,25.96,25.96,25.96,25.96,25.96,100.0,85.95,81.02,0.04,0.01,0.03,25.96,25.96,25.96,25.96,25.96
2024-04-11,25.81,26.03,25.77,26.0,731,25.97,25.97,25.97,25.97,25.97,84.0,85.3,82.45,0.04,0.01,0.03,25.97,25.97,25.97,25.97,25.97
2024-04-12,26.48,26.85,26.44,26.76,1639,26.13,26.13,26.13,26.13,26.13,95.26,88.62,84.5,0.11,0.03,0.08,26.13,26.13,26.13,26.13,26.13
2024-04-15,26.1,26.32,26.02,26.3,1819,26.23,26.16,26.16,26.16,26.16,49.07,75.44,81.48,0.12,0.05,0.07,26.23,26.16,26.16,26.16,26.16
2024-04-16,26.91,26.91,26.65,26.8,1882,26.41,26.25,26.25,26.25,26.25,90.35,80.41,81.12,0.17,0.07,0.1,26.41,26.25,26.25,26.25,26.25
2024-04-17,26.2,26.3,26.12,26.3,1289,26.43,26.26,26.26,26.26,26.26,46.49,69.1,77.12,0.16,0.09,0.07,26.43,26.26,26.26,26.26,26.26
2024-04-18,26.29,26.44,26.13,26.41,725,26.51,26.27,26.27,26.27,26.27,43.82,60.68,71.64,0.16,0.1,0.06,26.51,26.27,26.27,26.27,26.27
2024-04-19,26.26,26.87,26.13,26.25,1982,26.41,26.27,26.27,26.27,26.27,25.84,49.06,64.11,0.14,0.11,0.03,26.41,26.27,26.27,26.27,26.27
2024-04-22,26.44,26.44,25.89,26.01,2376,26.35,26.29,26.25,26.25,26.25,11.76,36.63,54.95,0.1,0.11,-0.0,26.35,26.29,26.25,26.25,26.25
2024-04-23,25.35,25.43,24.93,25.13,2492,26.02,26.22,26.15,26.15,26.15,10.31,27.86,45.92,-0.0,0.09,-0.09,26.02,26.22,26.15,26.15,26.15
2024-04-24,25.26,25.52,25.25,25.41,920,25.84,26.14,26.1,26.1,26.1,24.74,26.82,39.55,-0.05,0.06,-0.11,25.84,26.14,26.1,26.1,26.1
2024-04-25,25.31,25.37,25.05,25.18,665,25.6,26.06,26.03,26.03,26.03,12.89,22.17,33.76,-0.11,0.03,-0.14,25.6,26.06,26.03,26.03,26.03
2024-04-26,25.4,25.63,25.33,25.6,455,25.47,25.94,26.0,26.0,26.0,44.37,29.57,32.36,-0.12,0.0,-0.12,25.47,25.94,26.0,26.0,26.0
2024-04-29,25.22,25.38,25.04,25.31,668,25.33,25.84,25.96,25.96,25.96,54.29,37.81,34.18,-0.14,-0.02,-0.12,25.33,25.84,25.96,25.96,25.96
2024-04-30,25.13,25.21,24.92,24.92,700,25.28,25.65,25.9,25.9,25.9,0.0,25.21,31.19,-0.2,-0.06,-0.14,25.28,25.65,25.9,25.9,25.9
2024-05-02,24.84,24.86,24.59,24.63,865,25.13,25.48,25.83,25.83,25.83,3.85,18.09,26.82,-0.25,-0.09,-0.16,25.13,25.48,25.83,25.83,25.83
2024-05-03,24.74,24.8,24.63,24.74,470,25.04,25.32,25.77,25.77,25.77,14.42,16.87,23.5,-0.28,-0.13,-0.16,25.04,25.32,25.77,25.77,25.77
2024-05-06,24.74,25.01,24.73,24.94,561,24.91,25.19,25.73,25.73,25.73,44.3,26.01,24.34,-0.28,-0.16,-0.13,24.91,25.19,25.73,25.73,25.73
2024-05-07,25.4,25.44,25.25,25.33,704,24.91,25.12,25.7,25.71,25.71,87.06,46.36,31.68,-0.25,-0.17,-0.07,24.91,25.12,25.7,25.71,25.71
2024-05-08,25.25,25.4,25.11,25.37,419,25.0,25.14,25.68,25.69,25.69,91.76,61.5,41.62,-0.21,-0.18,-0.03,25.0,25.14,25.68,25.69,25.69
