ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,25.02,26.85,24.95,26.76,8323.0,26.76,26.76,26.76,26.76,26.76,95.26,95.26,95.26,0.0,0.0,0.0,26.76,26.76,26.76,26.76,26.76
2024-04-15,26.1,26.91,26.02,26.25,7697.0,26.51,26.51,26.51,26.51,26.51,66.33,85.62,92.05,-0.04,-0.01,-0.04,26.51,26.51,26.51,26.51,26.51
2024-04-22,26.44,26.44,24.93,25.6,6908.0,26.2,26.2,26.2,26.2,26.2,33.84,68.36,84.15,-0.13,-0.03,-0.1,26.2,26.2,26.2,26.2,26.2
2024-04-29,25.22,25.38,24.59,24.74,2703.0,25.84,25.84,25.84,25.84,25.84,6.47,47.73,72.01,-0.27,-0.07,-0.2,25.84,25.84,25.84,25.84,25.84
2024-05-06,24.74,26.35,24.73,26.32,3626.0,25.93,25.93,25.93,25.93,25.93,74.57,56.67,66.9,-0.23,-0.1,-0.13,25.93,25.93,25.93,25.93,25.93
2024-05-13,26.05,27.52,25.87,27.35,5007.0,26.05,26.17,26.17,26.17,26.17,94.2,69.18,67.66,-0.11,-0.1,-0.0,26.05,26.17,26.17,26.17,26.17
2024-05-20,29.36,30.0,27.76,28.08,10031.0,26.42,26.44,26.44,26.44,26.44,64.51,67.62,67.65,0.05,-0.08,0.12,26.42,26.44,26.44,26.44,26.44
2024-05-27,28.15,29.65,28.1,28.53,5430.0,27.0,26.7,26.7,26.7,26.7,72.83,69.36,68.22,0.2,-0.03,0.23,27.0,26.7,26.7,26.7,26.7
2024-06-03,28.12,28.99,27.12,28.88,8328.0,27.83,26.95,26.95,26.95,26.95,78.75,72.49,69.64,0.34,0.04,0.3,27.83,26.95,26.95,26.95,26.95
2024-06-11,27.03,27.21,26.5,26.61,5455.0,27.89,26.91,26.91,26.91,26.91,17.92,54.3,64.53,0.24,0.08,0.17,27.89,26.91,26.91,26.91,26.91
2024-06-17,26.97,28.21,26.78,28.09,4658.0,28.04,27.04,27.02,27.02,27.02,45.43,51.34,60.13,0.29,0.12,0.18,28.04,27.04,27.02,27.02,27.02
2024-06-24,26.96,27.17,26.37,26.67,3856.0,27.76,27.09,26.99,26.99,26.99,9.15,37.28,52.51,0.2,0.13,0.07,27.76,27.09,26.99,26.99,26.99
2024-07-01,26.67,27.98,26.57,27.96,3971.0,27.64,27.32,27.06,27.06,27.06,60.69,45.08,50.04,0.25,0.15,0.09,27.64,27.32,27.06,27.06,27.06
2024-07-08,28.5,28.69,28.17,28.45,3558.0,27.56,27.69,27.16,27.16,27.16,89.66,59.94,53.34,0.31,0.18,0.13,27.56,27.69,27.16,27.16,27.16
2024-07-15,28.1,28.69,26.89,27.02,4505.0,27.64,27.76,27.15,27.15,27.15,28.02,49.3,51.99,0.24,0.19,0.04,27.64,27.76,27.15,27.15,27.15
2024-07-22,26.82,26.82,25.28,25.38,3187.0,27.1,27.57,27.04,27.04,27.04,2.93,33.84,45.94,0.03,0.16,-0.13,27.1,27.57,27.04,27.04,27.04
2024-07-29,25.72,26.59,25.25,26.27,4327.0,27.02,27.39,27.0,27.0,27.0,29.65,32.45,41.44,-0.04,0.13,-0.17,27.02,27.39,27.0,27.0,27.0
2024-08-05,25.71,26.14,24.34,25.01,4780.0,26.43,27.03,26.89,26.89,26.89,15.4,26.76,36.55,-0.21,0.07,-0.27,26.43,27.03,26.89,26.89,26.89
2024-08-12,24.86,25.75,24.78,25.55,2782.0,25.85,26.7,26.82,26.82,26.82,27.82,27.12,33.41,-0.28,0.0,-0.28,25.85,26.7,26.82,26.82,26.82
2024-08-19,26.25,26.76,26.03,26.39,4771.0,25.72,26.68,26.8,26.8,26.8,82.66,45.63,37.48,-0.25,-0.04,-0.21,25.72,26.68,26.8,26.8,26.8
2024-08-26,26.92,27.1,26.38,26.5,2912.0,25.94,26.52,26.78,26.78,26.78,78.26,56.51,43.82,-0.22,-0.08,-0.14,25.94,26.52,26.78,26.78,26.78
2024-09-02,26.05,26.05,25.16,25.94,3158.0,25.88,26.45,26.77,26.74,26.74,57.97,57.0,48.21,-0.24,-0.11,-0.13,25.88,26.45,26.77,26.74,26.74
2024-09-09,25.15,27.01,25.14,27.01,3227.0,26.28,26.35,26.84,26.75,26.75,96.12,70.04,55.49,-0.16,-0.11,-0.04,26.28,26.35,26.84,26.75,26.75
2024-09-16,27.68,27.95,26.88,27.86,5143.0,26.74,26.29,26.99,26.8,26.8,96.8,78.96,63.31,-0.02,-0.1,0.08,26.74,26.29,26.99,26.8,26.8
2024-09-23,27.84,29.0,27.64,28.57,9132.0,27.18,26.45,27.11,26.87,26.87,88.86,82.26,69.63,0.14,-0.05,0.2,27.18,26.45,27.11,26.87,26.87
