ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,ma5.1,ma10.1,ma20.1,ma60.1,ma120.1,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,19.15,19.33,19.15,19.15,759,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.15,0.0,0.0,0.0,0.0,0.0,0.0,19.15,19.15,19.15,19.15,19.15
2024-04-09,19.32,19.43,19.22,19.4,1629,19.27,19.27,19.27,19.27,19.27,19.27,19.27,19.27,19.27,19.27,89.29,29.76,9.92,0.02,0.0,0.02,19.27,19.27,19.27,19.27,19.27
2024-04-10,19.4,19.43,19.32,19.32,955,19.29,19.29,19.29,19.29,19.29,19.29,19.29,19.29,19.29,19.29,60.71,40.08,19.97,0.03,0.01,0.02,19.29,19.29,19.29,19.29,19.29
2024-04-11,19.27,19.3,19.15,19.18,1007,19.26,19.26,19.26,19.26,19.26,19.26,19.26,19.26,19.26,19.26,10.71,30.29,23.41,0.02,0.01,0.01,19.26,19.26,19.26,19.26,19.26
2024-04-12,19.29,19.37,19.29,19.32,827,19.27,19.27,19.27,19.27,19.27,19.27,19.27,19.27,19.27,19.27,60.71,40.43,29.09,0.03,0.02,0.02,19.27,19.27,19.27,19.27,19.27
2024-04-15,19.23,19.23,18.83,18.89,1774,19.22,19.21,19.21,19.21,19.21,19.22,19.21,19.21,19.21,19.21,10.0,30.29,29.49,-0.0,0.01,-0.01,19.22,19.21,19.21,19.21,19.21
2024-04-16,18.86,18.86,18.23,18.3,1212,19.0,19.08,19.08,19.08,19.08,19.0,19.08,19.08,19.08,19.08,5.83,22.14,27.04,-0.08,-0.0,-0.07,19.0,19.08,19.08,19.08,19.08
2024-04-17,18.38,18.63,18.38,18.63,590,18.86,19.02,19.02,19.02,19.02,18.86,19.02,19.02,19.02,19.02,35.09,26.45,26.84,-0.1,-0.02,-0.08,18.86,19.02,19.02,19.02,19.02
2024-04-18,18.5,18.9,18.45,18.87,1129,18.8,19.01,19.01,19.01,19.01,18.8,19.01,19.01,19.01,19.01,56.14,36.35,30.01,-0.1,-0.04,-0.06,18.8,19.01,19.01,19.01,19.01
2024-04-19,18.43,18.48,17.62,17.89,5752,18.52,18.9,18.9,18.9,18.9,18.52,18.9,18.9,18.9,18.9,16.77,29.82,29.95,-0.18,-0.06,-0.12,18.52,18.9,18.9,18.9,18.9
2024-04-22,17.89,17.89,17.3,17.3,3524,18.2,18.71,18.75,18.75,18.75,18.2,18.71,18.75,18.75,18.75,0.0,19.88,26.59,-0.29,-0.1,-0.18,18.2,18.71,18.75,18.75,18.75
2024-04-23,17.61,17.62,17.37,17.44,1594,18.03,18.51,18.64,18.64,18.64,18.03,18.51,18.64,18.64,18.64,8.75,16.17,23.12,-0.35,-0.15,-0.2,18.03,18.51,18.64,18.64,18.64
2024-04-24,17.93,18.2,17.93,18.17,1886,17.93,18.4,18.6,18.6,18.6,17.93,18.4,18.6,18.6,18.6,54.38,28.91,25.05,-0.33,-0.18,-0.15,17.93,18.4,18.6,18.6,18.6
2024-04-25,17.96,18.02,17.77,17.77,2066,17.71,18.26,18.54,18.54,18.54,17.71,18.26,18.54,18.54,18.54,39.83,32.55,27.55,-0.34,-0.21,-0.13,17.71,18.26,18.54,18.54,18.54
2024-04-26,18.1,18.41,18.09,18.2,1922,17.78,18.15,18.52,18.52,18.52,17.78,18.15,18.52,18.52,18.52,81.08,48.73,34.61,-0.3,-0.23,-0.08,17.78,18.15,18.52,18.52,18.52
2024-04-29,18.64,18.64,18.5,18.5,1658,18.02,18.11,18.52,18.52,18.52,18.02,18.11,18.52,18.52,18.52,88.98,62.14,43.79,-0.25,-0.23,-0.02,18.02,18.11,18.52,18.52,18.52
2024-04-30,18.59,18.65,18.51,18.6,1482,18.25,18.14,18.53,18.53,18.53,18.25,18.14,18.53,18.53,18.53,94.32,72.87,53.48,-0.19,-0.22,0.03,18.25,18.14,18.53,18.53,18.53
2024-05-02,18.32,18.48,18.27,18.39,809,18.29,18.11,18.52,18.52,18.52,18.29,18.11,18.52,18.52,18.52,70.45,72.06,59.67,-0.17,-0.21,0.05,18.29,18.11,18.52,18.52,18.52
2024-05-03,18.71,18.75,18.47,18.52,1127,18.44,18.08,18.52,18.52,18.52,18.44,18.08,18.52,18.52,18.52,65.15,69.76,63.04,-0.13,-0.2,0.06,18.44,18.08,18.52,18.52,18.52
2024-05-06,18.69,18.85,18.62,18.65,2491,18.53,18.15,18.52,18.52,18.52,18.53,18.15,18.52,18.52,18.52,65.52,68.35,64.81,-0.1,-0.18,0.08,18.53,18.15,18.52,18.52,18.52
2024-05-07,18.75,18.76,18.5,18.67,1459,18.57,18.29,18.5,18.53,18.53,18.57,18.29,18.5,18.53,18.53,68.97,68.55,66.05,-0.06,-0.16,0.09,18.57,18.29,18.5,18.53,18.53
