ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-02-10,26.17,26.45,26.0,26.43,1693.0,95.56,95.56,95.56,0.0,0.0,0.0,26.43,26.43,26.43,26.43,26.43
2025-02-17,26.45,26.54,26.2,26.21,1988.0,38.89,76.67,89.26,-0.02,-0.0,-0.02,26.32,26.32,26.32,26.32,26.32
2025-02-24,26.0,26.0,25.46,25.52,2113.0,5.56,52.96,77.16,-0.09,-0.02,-0.07,26.05,26.05,26.05,26.05,26.05
2025-03-03,25.52,25.66,24.49,24.52,4184.0,1.46,35.8,63.37,-0.23,-0.06,-0.17,25.67,25.67,25.67,25.67,25.67
2025-03-10,24.52,24.52,23.34,23.39,4913.0,1.56,24.39,50.38,-0.43,-0.13,-0.3,25.21,25.21,25.21,25.21,25.21
2025-03-17,23.84,23.91,23.5,23.74,3447.0,12.5,20.42,40.39,-0.54,-0.2,-0.34,24.68,24.97,24.97,24.97,24.97
2025-03-24,23.92,24.58,23.92,24.24,1066.0,33.83,24.89,35.23,-0.56,-0.27,-0.3,24.28,24.86,24.86,24.86,24.86
2025-03-31,23.79,23.99,23.4,23.9,1068.0,24.14,24.64,31.7,-0.6,-0.33,-0.28,23.96,24.74,24.74,24.74,24.74
2025-04-07,21.3,24.0,20.55,22.3,5648.0,43.42,30.9,31.43,-0.76,-0.41,-0.36,23.51,24.47,24.47,24.47,24.47
2025-04-14,22.55,22.68,21.9,22.23,2351.0,41.69,34.5,32.45,-0.87,-0.49,-0.38,23.28,24.25,24.25,24.25,24.25
2025-04-21,22.22,23.14,21.54,23.06,2755.0,62.28,43.76,36.22,-0.87,-0.56,-0.31,23.15,23.91,24.14,24.14,24.14
2025-04-28,23.03,23.26,22.82,22.87,1039.0,67.25,51.59,41.34,-0.86,-0.61,-0.25,22.87,23.58,24.03,24.03,24.03
2025-05-05,22.58,22.95,21.6,22.15,1670.0,46.38,49.85,44.18,-0.91,-0.67,-0.24,22.52,23.24,23.89,23.89,23.89
2025-05-12,22.44,23.5,22.44,23.26,1899.0,87.76,62.49,50.28,-0.83,-0.7,-0.13,22.71,23.11,23.84,23.84,23.84
2025-05-19,23.26,23.43,22.81,22.9,1841.0,69.39,64.79,55.12,-0.79,-0.71,-0.07,22.85,23.06,23.78,23.78,23.78
2025-05-26,22.9,23.49,22.7,23.31,860.0,90.0,73.19,61.14,-0.71,-0.71,0.0,22.9,23.02,23.75,23.75,23.75
2025-06-02,23.01,23.2,22.94,23.1,1234.0,78.95,75.11,65.8,-0.66,-0.7,0.05,22.94,22.91,23.71,23.71,23.71
2025-06-09,23.18,23.47,22.63,22.76,2425.0,30.19,60.14,63.91,-0.63,-0.69,0.06,23.07,22.79,23.66,23.66,23.66
2025-06-16,22.72,22.87,22.43,22.44,2112.0,0.94,40.41,56.08,-0.64,-0.68,0.04,22.9,22.81,23.6,23.6,23.6
2025-06-23,22.4,23.02,22.32,22.59,4578.0,23.08,34.63,48.93,-0.61,-0.67,0.06,22.84,22.84,23.55,23.55,23.55
2025-06-30,22.94,23.2,22.84,22.96,1395.0,55.65,41.64,46.5,-0.55,-0.65,0.09,22.77,22.83,23.37,23.52,23.52
2025-07-07,23.01,23.28,22.9,23.26,1209.0,81.74,55.0,49.33,-0.47,-0.62,0.14,22.8,22.87,23.22,23.51,23.51
2025-07-14,23.25,23.5,23.05,23.46,2061.0,96.61,68.87,55.85,-0.39,-0.57,0.19,22.94,23.0,23.12,23.5,23.5
2025-07-21,23.46,23.7,23.43,23.63,773.0,94.93,77.56,63.08,-0.3,-0.53,0.22,23.18,23.04,23.08,23.51,23.51
2025-07-28,23.78,24.46,23.78,24.06,3230.0,75.31,76.81,67.66,-0.2,-0.47,0.27,23.47,23.16,23.11,23.53,23.53
2025-08-04,23.6,24.24,23.48,24.18,1949.0,82.05,78.56,71.29,-0.11,-0.4,0.29,23.72,23.24,23.13,23.56,23.56
2025-08-11,24.43,24.9,24.43,24.87,1877.0,98.38,85.16,75.91,0.02,-0.32,0.35,24.04,23.42,23.16,23.61,23.61
2025-08-18,24.87,24.87,24.61,24.79,3591.0,92.52,87.61,79.81,0.11,-0.25,0.35,24.31,23.62,23.21,23.65,23.65
2025-08-25,24.99,25.42,24.94,25.38,1054.0,97.94,91.06,83.56,0.22,-0.16,0.38,24.66,23.92,23.36,23.71,23.71
2025-09-01,25.23,25.69,25.19,25.61,1695.0,96.38,92.83,86.65,0.33,-0.07,0.4,24.97,24.22,23.53,23.77,23.77
2025-09-08,25.61,25.61,25.15,25.36,1101.0,73.81,86.49,86.6,0.37,0.01,0.36,25.2,24.46,23.65,23.82,23.82
2025-09-15,25.4,25.93,25.4,25.81,1062.0,90.91,87.96,87.05,0.44,0.09,0.35,25.39,24.71,23.79,23.88,23.88
2025-09-22,25.95,26.19,25.77,26.0,1029.0,84.8,86.91,87.0,0.5,0.16,0.34,25.63,24.97,23.99,23.95,23.95
