ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,ma5.1,ma10.1,ma20.1,ma60.1,ma120.1,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-08-21,9.97,9.99,9.96,9.97,70683,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,33.33,33.33,33.33,0.0,0.0,0.0,9.97,9.97,9.97,9.97,9.97
2024-08-22,9.98,9.98,9.95,9.95,32647,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,0.0,22.22,29.63,-0.0,-0.0,-0.0,9.96,9.96,9.96,9.96,9.96
2024-08-23,9.95,9.96,9.94,9.95,18313,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,20.0,21.48,26.91,-0.0,-0.0,-0.0,9.96,9.96,9.96,9.96,9.96
2024-08-26,9.96,9.96,9.93,9.93,17381,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,0.0,14.32,22.72,-0.01,-0.0,-0.0,9.95,9.95,9.95,9.95,9.95
2024-08-27,9.94,9.95,9.94,9.94,8610,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,16.67,15.1,20.18,-0.01,-0.0,-0.0,9.95,9.95,9.95,9.95,9.95
2024-08-28,9.95,9.97,9.94,9.96,14459,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,60.0,30.07,23.48,-0.01,-0.0,-0.0,9.95,9.95,9.95,9.95,9.95
2024-08-29,9.96,9.97,9.96,9.96,8533,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,75.0,45.05,30.67,-0.0,-0.0,-0.0,9.95,9.95,9.95,9.95,9.95
2024-08-30,9.96,9.97,9.95,9.97,19299,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,100.0,63.36,41.56,-0.0,-0.0,0.0,9.95,9.95,9.95,9.95,9.95
2024-09-02,9.98,10.0,9.97,9.99,15730,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,83.33,70.02,51.05,0.0,-0.0,0.0,9.96,9.96,9.96,9.96,9.96
2024-09-03,10.0,10.02,9.99,10.01,27006,9.98,9.96,9.96,9.96,9.96,9.98,9.96,9.96,9.96,9.96,87.5,75.85,59.32,0.0,-0.0,0.01,9.98,9.96,9.96,9.96,9.96
2024-09-04,10.0,10.01,9.99,10.0,15180,9.99,9.97,9.97,9.97,9.97,9.99,9.97,9.97,9.97,9.97,71.43,74.37,64.34,0.01,-0.0,0.01,9.99,9.97,9.97,9.97,9.97
2024-09-05,10.01,10.01,10.0,10.0,12011,9.99,9.97,9.97,9.97,9.97,9.99,9.97,9.97,9.97,9.97,71.43,73.39,67.35,0.01,0.0,0.01,9.99,9.97,9.97,9.97,9.97
2024-09-06,10.0,10.01,9.98,9.98,9198,10.0,9.97,9.97,9.97,9.97,10.0,9.97,9.97,9.97,9.97,20.0,55.59,63.43,0.01,0.0,0.0,10.0,9.97,9.97,9.97,9.97
2024-09-09,9.99,10.01,9.97,10.0,21097,10.0,9.98,9.97,9.97,9.97,10.0,9.98,9.97,9.97,9.97,60.0,57.06,61.31,0.01,0.0,0.0,10.0,9.98,9.97,9.97,9.97
2024-09-10,10.01,10.05,10.01,10.04,51529,10.0,9.99,9.98,9.98,9.98,10.0,9.99,9.98,9.98,9.98,87.5,67.21,63.28,0.01,0.0,0.01,10.0,9.99,9.98,9.98,9.98
2024-09-11,10.05,10.05,10.01,10.02,21739,10.01,10.0,9.98,9.98,9.98,10.01,10.0,9.98,9.98,9.98,62.5,65.64,64.06,0.01,0.01,0.01,10.01,10.0,9.98,9.98,9.98
2024-09-12,10.02,10.03,10.01,10.01,5612,10.01,10.0,9.98,9.98,9.98,10.01,10.0,9.98,9.98,9.98,50.0,60.43,62.85,0.01,0.01,0.01,10.01,10.0,9.98,9.98,9.98
2024-09-13,10.02,10.02,10.01,10.01,6475,10.02,10.01,9.98,9.98,9.98,10.02,10.01,9.98,9.98,9.98,50.0,56.95,60.88,0.01,0.01,0.0,10.02,10.01,9.98,9.98,9.98
2024-09-16,10.01,10.01,9.99,9.99,12257,10.01,10.01,9.98,9.98,9.98,10.01,10.01,9.98,9.98,9.98,0.0,37.97,53.25,0.01,0.01,0.0,10.01,10.01,9.98,9.98,9.98
2024-09-18,10.0,10.02,10.0,10.01,7027,10.01,10.01,9.98,9.98,9.98,10.01,10.01,9.98,9.98,9.98,33.33,36.42,47.64,0.01,0.01,0.0,10.01,10.01,9.98,9.98,9.98
2024-09-19,10.02,10.06,10.02,10.04,35950,10.01,10.01,9.99,9.99,9.99,10.01,10.01,9.99,9.99,9.99,71.43,48.09,47.79,0.01,0.01,0.0,10.01,10.01,9.99,9.99,9.99
2024-09-20,10.04,10.05,10.03,10.03,17449,10.02,10.01,9.99,9.99,9.99,10.02,10.01,9.99,9.99,9.99,57.14,51.11,48.9,0.01,0.01,0.0,10.02,10.01,9.99,9.99,9.99
2024-09-23,10.04,10.08,10.04,10.08,19853,10.03,10.02,10.0,9.99,9.99,10.03,10.02,10.0,9.99,9.99,100.0,67.41,55.07,0.02,0.01,0.01,10.03,10.02,10.0,9.99,9.99
2024-09-24,10.08,10.09,10.06,10.06,10489,10.04,10.03,10.0,10.0,10.0,10.04,10.03,10.0,10.0,10.0,66.67,67.16,59.1,0.02,0.01,0.01,10.04,10.03,10.0,10.0,10.0
2024-09-25,10.05,10.05,10.02,10.03,13121,10.05,10.03,10.01,10.0,10.0,10.05,10.03,10.01,10.0,10.0,14.29,49.53,55.91,0.02,0.01,0.0,10.05,10.03,10.01,10.0,10.0
2024-09-26,10.03,10.04,10.02,10.03,9166,10.05,10.03,10.01,10.0,10.0,10.05,10.03,10.01,10.0,10.0,14.29,37.79,49.87,0.02,0.01,0.0,10.05,10.03,10.01,10.0,10.0
2024-09-27,10.02,10.03,9.99,9.99,11821,10.04,10.03,10.01,10.0,10.0,10.04,10.03,10.01,10.0,10.0,0.0,25.19,41.64,0.01,0.01,-0.0,10.04,10.03,10.01,10.0,10.0
2024-09-30,9.99,10.0,9.96,9.97,8903,10.02,10.02,10.01,10.0,10.0,10.02,10.02,10.01,10.0,10.0,7.69,19.36,34.21,0.0,0.01,-0.01,10.02,10.02,10.01,10.0,10.0
2024-10-01,9.98,10.04,9.98,10.03,13163,10.01,10.03,10.02,10.0,10.0,10.01,10.03,10.02,10.0,10.0,77.78,38.83,35.75,0.01,0.01,-0.0,10.01,10.03,10.02,10.0,10.0
2024-10-04,10.03,10.08,10.03,10.06,18104,10.02,10.03,10.02,10.0,10.0,10.02,10.03,10.02,10.0,10.0,83.33,53.67,41.72,0.01,0.01,-0.0,10.02,10.03,10.02,10.0,10.0
2024-10-07,10.06,10.12,10.05,10.11,29289,10.03,10.04,10.02,10.0,10.0,10.03,10.04,10.02,10.0,10.0,93.75,67.03,50.16,0.02,0.01,0.0,10.03,10.04,10.02,10.0,10.0
2024-10-08,10.1,10.11,10.07,10.09,9671,10.05,10.04,10.03,10.01,10.01,10.05,10.04,10.03,10.01,10.01,81.25,71.77,57.36,0.02,0.01,0.01,10.05,10.04,10.03,10.01,10.01
2024-10-09,10.11,10.12,10.09,10.09,10385,10.08,10.05,10.03,10.01,10.01,10.08,10.05,10.03,10.01,10.01,78.57,74.04,62.92,0.02,0.01,0.01,10.08,10.05,10.03,10.01,10.01
2024-10-11,10.09,10.12,10.09,10.12,13800,10.09,10.05,10.04,10.01,10.01,10.09,10.05,10.04,10.01,10.01,100.0,82.69,69.51,0.02,0.02,0.01,10.09,10.05,10.04,10.01,10.01
2024-10-14,10.11,10.13,10.1,10.11,8509,10.1,10.06,10.04,10.02,10.02,10.1,10.06,10.04,10.02,10.02,75.0,80.13,73.05,0.02,0.02,0.01,10.1,10.06,10.04,10.02,10.02
2024-10-15,10.12,10.13,10.11,10.12,13652,10.11,10.07,10.05,10.02,10.02,10.11,10.07,10.05,10.02,10.02,83.33,81.2,75.76,0.03,0.02,0.01,10.11,10.07,10.05,10.02,10.02
2024-10-16,10.13,10.15,10.13,10.14,8324,10.12,10.08,10.06,10.02,10.02,10.12,10.08,10.06,10.02,10.02,83.33,81.91,77.81,0.03,0.02,0.01,10.12,10.08,10.06,10.02,10.02
2024-10-17,10.14,10.15,10.14,10.15,5117,10.13,10.1,10.06,10.02,10.02,10.13,10.1,10.06,10.02,10.02,100.0,87.94,81.19,0.03,0.02,0.01,10.13,10.1,10.06,10.02,10.02
2024-10-18,10.13,10.14,10.12,10.13,7125,10.13,10.11,10.07,10.03,10.03,10.13,10.11,10.07,10.03,10.03,60.0,78.63,80.33,0.03,0.02,0.01,10.13,10.11,10.07,10.03,10.03
2024-10-21,10.13,10.13,10.1,10.11,13327,10.13,10.12,10.07,10.03,10.03,10.13,10.12,10.07,10.03,10.03,20.0,59.08,73.25,0.03,0.02,0.0,10.13,10.12,10.07,10.03,10.03
2024-10-22,10.11,10.13,10.1,10.11,16935,10.13,10.12,10.08,10.03,10.03,10.13,10.12,10.08,10.03,10.03,20.0,46.06,64.19,0.02,0.02,0.0,10.13,10.12,10.08,10.03,10.03
2024-10-23,10.1,10.12,10.1,10.1,12028,10.12,10.12,10.08,10.03,10.03,10.12,10.12,10.08,10.03,10.03,0.0,30.7,53.03,0.02,0.02,-0.0,10.12,10.12,10.08,10.03,10.03
2024-10-24,10.1,10.1,10.08,10.08,13072,10.11,10.12,10.08,10.03,10.03,10.11,10.12,10.08,10.03,10.03,0.0,20.47,42.17,0.02,0.02,-0.01,10.11,10.12,10.08,10.03,10.03
2024-10-25,10.09,10.12,10.09,10.12,12839,10.1,10.12,10.08,10.04,10.04,10.1,10.12,10.08,10.04,10.04,80.0,40.31,41.55,0.02,0.02,-0.0,10.1,10.12,10.08,10.04,10.04
2024-10-28,10.12,10.12,10.1,10.11,6738,10.1,10.12,10.09,10.04,10.04,10.1,10.12,10.09,10.04,10.04,60.0,46.88,43.33,0.02,0.02,-0.0,10.1,10.12,10.09,10.04,10.04
2024-10-29,10.13,10.14,10.12,10.14,16393,10.11,10.12,10.09,10.04,10.04,10.11,10.12,10.09,10.04,10.04,100.0,64.58,50.41,0.02,0.02,-0.0,10.11,10.12,10.09,10.04,10.04
2024-10-30,10.12,10.14,10.12,10.14,12053,10.12,10.12,10.1,10.04,10.04,10.12,10.12,10.1,10.04,10.04,100.0,76.39,59.07,0.02,0.02,-0.0,10.12,10.12,10.1,10.04,10.04
2024-11-01,10.14,10.14,10.07,10.1,37233,10.12,10.11,10.11,10.04,10.04,10.12,10.11,10.11,10.04,10.04,42.86,65.21,61.12,0.01,0.02,-0.0,10.12,10.11,10.11,10.04,10.04
2024-11-04,10.09,10.11,10.06,10.07,27934,10.11,10.11,10.11,10.04,10.04,10.11,10.11,10.11,10.04,10.04,12.5,47.64,56.63,0.01,0.02,-0.01,10.11,10.11,10.11,10.04,10.04
2024-11-05,10.09,10.12,10.09,10.12,24122,10.11,10.11,10.11,10.05,10.05,10.11,10.11,10.11,10.05,10.05,75.0,56.76,56.67,0.01,0.02,-0.01,10.11,10.11,10.11,10.05,10.05
2024-11-06,10.11,10.18,10.11,10.18,24123,10.12,10.12,10.12,10.05,10.05,10.12,10.12,10.12,10.05,10.05,100.0,71.17,61.51,0.01,0.02,-0.0,10.12,10.12,10.12,10.05,10.05
2024-11-07,10.11,10.17,10.11,10.14,14733,10.12,10.12,10.12,10.05,10.05,10.12,10.12,10.12,10.05,10.05,66.67,69.67,64.23,0.02,0.02,-0.0,10.12,10.12,10.12,10.05,10.05
2024-11-08,10.15,10.15,10.12,10.14,18218,10.13,10.13,10.12,10.05,10.05,10.13,10.13,10.12,10.05,10.05,66.67,68.67,65.71,0.01,0.02,-0.0,10.13,10.13,10.12,10.05,10.05
2024-11-11,10.14,10.23,10.14,10.22,18984,10.16,10.14,10.13,10.05,10.05,10.16,10.14,10.13,10.05,10.05,92.86,76.73,69.38,0.02,0.02,0.01,10.16,10.14,10.13,10.05,10.05
2024-11-12,10.23,10.28,10.22,10.26,15932,10.19,10.15,10.13,10.06,10.06,10.19,10.15,10.13,10.06,10.06,88.24,80.57,73.11,0.03,0.02,0.01,10.19,10.15,10.13,10.06,10.06
2024-11-13,10.24,10.26,10.23,10.24,14381,10.2,10.16,10.14,10.06,10.06,10.2,10.16,10.14,10.06,10.06,76.47,79.2,75.14,0.03,0.02,0.01,10.2,10.16,10.14,10.06,10.06
2024-11-14,10.23,10.29,10.22,10.28,14615,10.23,10.18,10.15,10.07,10.07,10.23,10.18,10.15,10.07,10.07,94.12,84.17,78.15,0.04,0.02,0.01,10.23,10.18,10.15,10.07,10.07
2024-11-15,10.28,10.3,10.24,10.24,19718,10.25,10.19,10.15,10.07,10.07,10.25,10.19,10.15,10.07,10.07,62.5,76.95,77.75,0.04,0.03,0.01,10.25,10.19,10.15,10.07,10.07
