ts,Open,High,Low,Close,Volume,Amount
2024-08-21 09:01:00,9.97,9.98,9.97,9.97,12213,121789800.0
2024-08-21 09:02:00,9.98,9.99,9.97,9.99,2023,20192380.0
2024-08-21 09:03:00,9.99,9.99,9.98,9.99,668,6672620.0
2024-08-21 09:04:00,9.99,9.99,9.98,9.99,1018,10167310.0
2024-08-21 09:05:00,9.99,9.99,9.98,9.99,717,7160470.0
2024-08-21 09:06:00,9.98,9.99,9.98,9.99,881,8799470.0
2024-08-21 09:07:00,9.99,9.99,9.98,9.99,800,7988520.0
2024-08-21 09:08:00,9.99,9.99,9.98,9.98,1070,10681960.0
2024-08-21 09:09:00,9.98,9.99,9.98,9.98,2478,24732390.0
2024-08-21 09:10:00,9.98,9.99,9.97,9.98,3161,31546740.0
2024-08-21 09:11:00,9.98,9.98,9.97,9.98,443,4419610.0
2024-08-21 09:12:00,9.98,9.98,9.97,9.97,743,7408410.0
2024-08-21 09:13:00,9.97,9.98,9.97,9.97,2308,23011710.0
2024-08-21 09:14:00,9.97,9.98,9.96,9.97,1536,15314130.0
2024-08-21 09:15:00,9.97,9.97,9.96,9.97,365,3637730.0
2024-08-21 09:16:00,9.97,9.97,9.96,9.97,468,4665460.0
2024-08-21 09:17:00,9.97,9.97,9.96,9.97,403,4017540.0
2024-08-21 09:18:00,9.96,9.97,9.96,9.97,127,1265640.0
2024-08-21 09:19:00,9.96,9.97,9.96,9.97,207,2063040.0
2024-08-21 09:20:00,9.97,9.97,9.96,9.97,158,1574950.0
2024-08-21 09:21:00,9.97,9.97,9.96,9.97,286,2851010.0
2024-08-21 09:22:00,9.97,9.97,9.96,9.97,323,3219810.0
2024-08-21 09:23:00,9.97,9.97,9.96,9.96,289,2879710.0
2024-08-21 09:24:00,9.97,9.97,9.96,9.97,221,2202800.0
2024-08-21 09:25:00,9.97,9.97,9.96,9.97,330,3289630.0
2024-08-21 09:26:00,9.97,9.97,9.96,9.97,374,3728060.0
2024-08-21 09:27:00,9.97,9.97,9.96,9.97,311,3100070.0
2024-08-21 09:28:00,9.97,9.97,9.97,9.97,536,5343920.0
2024-08-21 09:29:00,9.97,9.97,9.96,9.97,250,2492450.0
2024-08-21 09:30:00,9.97,9.97,9.97,9.97,449,4476530.0
2024-08-21 09:31:00,9.97,9.97,9.96,9.97,1799,17935780.0
2024-08-21 09:32:00,9.97,9.98,9.97,9.98,127,1266640.0
2024-08-21 09:33:00,9.98,9.98,9.97,9.97,159,1585600.0
2024-08-21 09:34:00,9.97,9.98,9.97,9.98,95,947770.0
2024-08-21 09:35:00,9.98,9.98,9.97,9.98,271,2703620.0
2024-08-21 09:36:00,9.98,9.98,9.97,9.98,683,6816270.0
2024-08-21 09:37:00,9.98,9.98,9.98,9.98,2568,25628640.0
2024-08-21 09:38:00,9.98,9.98,9.98,9.98,568,5668640.0
2024-08-21 09:39:00,9.98,9.98,9.98,9.98,135,1347300.0
2024-08-21 09:40:00,9.98,9.99,9.98,9.99,214,2137530.0
2024-08-21 09:41:00,9.99,9.99,9.98,9.99,193,1927040.0
2024-08-21 09:42:00,9.99,9.99,9.98,9.99,371,3706140.0
2024-08-21 09:43:00,9.99,9.99,9.98,9.99,129,1288530.0
2024-08-21 09:44:00,9.99,9.99,9.98,9.99,146,1458240.0
2024-08-21 09:45:00,9.99,9.99,9.98,9.99,216,2157820.0
2024-08-21 09:46:00,9.98,9.99,9.98,9.99,111,1108830.0
2024-08-21 09:47:00,9.99,9.99,9.98,9.99,108,1078410.0
