ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-08-21,9.97,9.99,9.94,9.95,121643.0,9.95,9.95,9.95,9.95,9.95,20.0,20.0,20.0,0.0,0.0,0.0,9.95,9.95,9.95,9.95,9.95
2024-08-26,9.96,9.97,9.93,9.97,68282.0,9.96,9.96,9.96,9.96,9.96,66.67,35.56,25.19,0.0,0.0,0.0,9.96,9.96,9.96,9.96,9.96
2024-09-02,9.98,10.02,9.97,9.98,79125.0,9.97,9.97,9.97,9.97,9.97,55.56,42.22,30.86,0.0,0.0,0.0,9.97,9.97,9.97,9.97,9.97
2024-09-09,9.99,10.05,9.97,10.01,106452.0,9.98,9.98,9.98,9.98,9.98,66.67,50.37,37.37,0.01,0.0,0.01,9.98,9.98,9.98,9.98,9.98
2024-09-16,10.01,10.06,9.99,10.03,72683.0,9.99,9.99,9.99,9.99,9.99,76.92,59.22,44.65,0.01,0.0,0.01,9.99,9.99,9.99,9.99,9.99
2024-09-23,10.04,10.09,9.99,9.99,64450.0,10.0,9.99,9.99,9.99,9.99,37.5,51.98,47.09,0.01,0.01,0.01,10.0,9.99,9.99,9.99,9.99
2024-09-30,9.99,10.08,9.96,10.06,40170.0,10.01,10.0,10.0,10.0,10.0,76.92,60.29,51.49,0.02,0.01,0.01,10.01,10.0,10.0,10.0,10.0
2024-10-07,10.06,10.12,10.05,10.12,63145.0,10.04,10.01,10.01,10.01,10.01,100.0,73.53,58.84,0.03,0.01,0.02,10.04,10.01,10.01,10.01,10.01
2024-10-14,10.11,10.15,10.1,10.13,42727.0,10.07,10.03,10.03,10.03,10.03,89.47,78.84,65.51,0.03,0.02,0.02,10.07,10.03,10.03,10.03,10.03
2024-10-21,10.13,10.13,10.08,10.12,68201.0,10.08,10.04,10.04,10.04,10.04,84.21,80.63,70.55,0.04,0.02,0.02,10.08,10.04,10.04,10.04,10.04
2024-10-28,10.12,10.14,10.07,10.1,72417.0,10.11,10.05,10.04,10.04,10.04,73.68,78.32,73.14,0.04,0.02,0.02,10.11,10.05,10.04,10.04,10.04
2024-11-04,10.09,10.18,10.06,10.14,109130.0,10.12,10.07,10.05,10.05,10.05,69.23,75.29,73.86,0.04,0.03,0.02,10.12,10.07,10.05,10.05,10.05
2024-11-11,10.14,10.3,10.14,10.24,83630.0,10.15,10.09,10.06,10.06,10.06,75.0,75.19,74.3,0.05,0.03,0.02,10.15,10.09,10.06,10.06,10.06
2024-11-18,10.23,10.32,10.21,10.28,112825.0,10.18,10.12,10.08,10.08,10.08,84.62,78.33,75.64,0.06,0.04,0.03,10.18,10.12,10.08,10.08,10.08
2024-11-25,10.3,10.35,10.25,10.3,132663.0,10.21,10.15,10.09,10.09,10.09,82.76,79.81,77.03,0.07,0.04,0.03,10.21,10.15,10.09,10.09,10.09
2024-12-02,10.33,10.39,10.23,10.23,344049.0,10.24,10.17,10.1,10.1,10.1,51.52,70.38,74.81,0.07,0.05,0.02,10.24,10.17,10.1,10.1,10.1
2024-12-09,10.23,10.27,10.22,10.25,194731.0,10.26,10.19,10.11,10.11,10.11,44.0,61.58,70.4,0.07,0.05,0.02,10.26,10.19,10.11,10.11,10.11
2024-12-16,10.25,10.26,10.21,10.21,157033.0,10.25,10.2,10.12,10.12,10.12,0.0,41.06,60.62,0.06,0.05,0.01,10.25,10.2,10.12,10.12,10.12
2024-12-23,10.22,10.3,10.22,10.28,105620.0,10.25,10.22,10.13,10.13,10.13,38.89,40.33,53.86,0.06,0.06,0.01,10.25,10.22,10.13,10.13,10.13
2024-12-30,10.28,10.37,10.28,10.36,207619.0,10.27,10.24,10.14,10.14,10.14,83.33,54.67,54.13,0.07,0.06,0.01,10.27,10.24,10.14,10.14,10.14
2025-01-06,10.37,10.38,10.24,10.3,200877.0,10.28,10.26,10.16,10.15,10.15,52.94,54.09,54.12,0.07,0.06,0.01,10.28,10.26,10.16,10.15,10.15
2025-01-13,10.3,10.35,10.29,10.34,135334.0,10.3,10.28,10.17,10.15,10.15,76.47,61.55,56.59,0.07,0.06,0.01,10.3,10.28,10.17,10.15,10.15
2025-01-20,10.35,10.35,10.27,10.34,108247.0,10.32,10.29,10.19,10.16,10.16,75.0,66.03,59.74,0.07,0.06,0.01,10.32,10.29,10.19,10.16,10.16
2025-02-03,10.38,10.44,10.37,10.37,319032.0,10.34,10.3,10.21,10.17,10.17,65.0,65.69,61.72,0.07,0.07,0.01,10.34,10.3,10.21,10.17,10.17
2025-02-10,10.35,10.4,10.26,10.29,432436.0,10.33,10.3,10.22,10.18,10.18,25.0,52.13,58.52,0.06,0.07,-0.0,10.33,10.3,10.22,10.18,10.18
2025-02-17,10.27,10.31,10.27,10.29,362360.0,10.33,10.3,10.24,10.18,10.18,16.67,40.31,52.45,0.06,0.06,-0.01,10.33,10.3,10.24,10.18,10.18
2025-02-24,10.29,10.34,10.29,10.34,350576.0,10.33,10.31,10.25,10.19,10.19,44.44,41.69,48.86,0.06,0.06,-0.01,10.33,10.31,10.25,10.19,10.19
2025-03-03,10.35,10.36,10.25,10.25,525715.0,10.31,10.32,10.26,10.19,10.19,0.0,27.79,41.84,0.05,0.06,-0.01,10.31,10.32,10.26,10.19,10.19
2025-03-10,10.25,10.26,10.17,10.18,380220.0,10.27,10.31,10.26,10.19,10.19,4.35,19.98,34.55,0.03,0.05,-0.02,10.27,10.31,10.26,10.19,10.19
2025-03-17,10.19,10.27,10.19,10.26,212714.0,10.26,10.3,10.27,10.19,10.19,47.37,29.11,32.74,0.03,0.05,-0.02,10.26,10.3,10.27,10.19,10.19
2025-03-24,10.26,10.31,10.26,10.3,244322.0,10.27,10.3,10.28,10.19,10.19,68.42,42.21,35.89,0.03,0.05,-0.02,10.27,10.3,10.28,10.19,10.19
2025-03-31,10.27,10.31,10.23,10.23,179007.0,10.24,10.28,10.28,10.2,10.2,31.58,38.67,36.82,0.02,0.04,-0.02,10.24,10.28,10.28,10.2,10.2
2025-04-07,9.52,9.99,9.0,9.8,661006.0,10.15,10.23,10.26,10.18,10.18,61.07,46.13,39.92,-0.02,0.03,-0.05,10.15,10.23,10.26,10.18,10.18
2025-04-14,9.75,9.94,9.68,9.92,171529.0,10.1,10.19,10.24,10.18,10.18,70.23,54.17,44.67,-0.04,0.02,-0.06,10.1,10.19,10.24,10.18,10.18
2025-04-21,9.9,9.98,9.77,9.96,204894.0,10.04,10.15,10.22,10.17,10.17,73.28,60.54,49.96,-0.05,0.0,-0.06,10.04,10.15,10.22,10.17,10.17
2025-04-28,9.99,10.0,9.6,9.67,270692.0,9.92,10.09,10.2,10.16,10.16,51.15,57.41,52.44,-0.09,-0.01,-0.07,9.92,10.09,10.2,10.16,10.16
2025-05-05,9.48,9.48,8.85,9.21,339345.0,9.71,9.98,10.14,10.13,10.13,31.3,48.71,51.2,-0.15,-0.04,-0.11,9.71,9.98,10.14,10.13,10.13
2025-05-12,9.21,9.4,9.2,9.3,156865.0,9.61,9.88,10.1,10.11,10.11,39.13,45.51,49.3,-0.18,-0.06,-0.12,9.61,9.88,10.1,10.11,10.11
2025-05-19,9.3,9.34,9.2,9.23,142929.0,9.47,9.79,10.05,10.09,10.09,33.04,41.36,46.65,-0.21,-0.09,-0.12,9.47,9.79,10.05,10.09,10.09
2025-05-26,9.22,9.33,9.17,9.33,129403.0,9.35,9.7,10.0,10.07,10.07,41.74,41.48,44.93,-0.22,-0.11,-0.11,9.35,9.7,10.0,10.07,10.07
2025-06-02,9.31,9.31,9.2,9.22,158461.0,9.26,9.59,9.94,10.05,10.05,58.73,47.23,45.7,-0.23,-0.14,-0.1,9.26,9.59,9.94,10.05,10.05
2025-06-09,9.23,9.24,9.09,9.13,167853.0,9.24,9.48,9.88,10.02,10.02,12.9,35.79,42.4,-0.25,-0.16,-0.09,9.24,9.48,9.88,10.02,10.02
2025-06-16,9.12,9.14,9.09,9.12,169311.0,9.21,9.41,9.82,10.0,10.0,12.0,27.86,37.55,-0.25,-0.17,-0.08,9.21,9.41,9.82,10.0,10.0
2025-06-23,9.12,9.2,8.99,8.99,253491.0,9.16,9.32,9.75,9.98,9.98,0.0,18.57,31.22,-0.27,-0.19,-0.07,9.16,9.32,9.75,9.98,9.98
2025-06-30,9.05,9.13,8.93,8.94,225592.0,9.08,9.21,9.68,9.96,9.96,2.63,13.26,25.24,-0.27,-0.21,-0.07,9.08,9.21,9.68,9.96,9.96
