ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-02-11,9.98,10.11,9.97,10.11,79529.0,10.11,10.11,10.11,10.11,10.11,100.0,100.0,100.0,0.0,0.0,0.0,10.11,10.11,10.11,10.11,10.11
2025-02-17,10.15,10.22,10.12,10.13,64852.0,10.12,10.12,10.12,10.12,10.12,64.0,88.0,96.0,0.0,0.0,0.0,10.12,10.12,10.12,10.12,10.12
2025-02-24,10.0,10.05,9.68,9.74,75400.0,9.99,9.99,9.99,9.99,9.99,11.11,62.37,84.79,-0.03,-0.01,-0.03,9.99,9.99,9.99,9.99,9.99
2025-03-03,9.62,9.65,9.26,9.27,77245.0,9.81,9.81,9.81,9.81,9.81,1.04,41.93,70.5,-0.1,-0.02,-0.07,9.81,9.81,9.81,9.81,9.81
2025-03-10,9.23,9.26,8.83,8.96,53689.0,9.64,9.64,9.64,9.64,9.64,9.35,31.07,57.36,-0.17,-0.05,-0.12,9.64,9.64,9.64,9.64,9.64
2025-03-17,9.04,9.17,9.0,9.08,37851.0,9.44,9.55,9.55,9.55,9.55,17.99,26.71,47.14,-0.21,-0.08,-0.13,9.44,9.55,9.55,9.55,9.55
2025-03-24,9.18,9.39,9.15,9.17,35948.0,9.24,9.49,9.49,9.49,9.49,27.87,27.09,40.46,-0.23,-0.1,-0.12,9.24,9.49,9.49,9.49,9.49
2025-03-31,8.83,9.03,8.82,9.02,26323.0,9.1,9.44,9.44,9.44,9.44,24.1,26.1,35.67,-0.25,-0.13,-0.12,9.1,9.44,9.44,9.44,9.44
2025-04-07,7.82,8.87,7.69,8.48,108922.0,8.94,9.33,9.33,9.33,9.33,46.47,32.89,34.74,-0.31,-0.16,-0.15,8.94,9.33,9.33,9.33,9.33
2025-04-14,8.6,8.63,8.33,8.4,32052.0,8.83,9.24,9.24,9.24,9.24,41.76,35.85,35.11,-0.35,-0.2,-0.16,8.83,9.24,9.24,9.24,9.24
2025-04-21,8.3,8.8,8.11,8.75,28726.0,8.76,9.1,9.19,9.19,9.19,62.35,44.68,38.3,-0.35,-0.23,-0.13,8.76,9.1,9.19,9.19,9.19
2025-04-28,8.79,8.88,8.65,8.7,25578.0,8.67,8.96,9.15,9.15,9.15,75.37,54.91,43.84,-0.35,-0.25,-0.1,8.67,8.96,9.15,9.15,9.15
2025-05-05,8.61,8.61,8.12,8.49,34565.0,8.56,8.83,9.1,9.1,9.1,67.23,59.02,48.9,-0.36,-0.27,-0.09,8.56,8.83,9.1,9.1,9.1
2025-05-12,8.62,9.01,8.61,8.96,23243.0,8.66,8.8,9.09,9.09,9.09,94.44,70.83,56.21,-0.32,-0.28,-0.04,8.66,8.8,9.09,9.09,9.09
2025-05-19,8.95,9.02,8.82,8.84,21878.0,8.75,8.79,9.07,9.07,9.07,80.22,73.96,62.12,-0.29,-0.28,-0.01,8.75,8.79,9.07,9.07,9.07
2025-05-26,8.83,9.11,8.78,9.09,16467.0,8.82,8.79,9.07,9.07,9.07,97.98,81.96,68.74,-0.25,-0.27,0.03,8.82,8.79,9.07,9.07,9.07
2025-06-02,8.86,9.06,8.85,9.02,16416.0,8.88,8.78,9.07,9.07,9.07,90.91,84.95,74.14,-0.22,-0.26,0.05,8.88,8.78,9.07,9.07,9.07
2025-06-09,9.06,9.17,8.86,8.9,18701.0,8.96,8.76,9.06,9.06,9.06,51.79,73.89,74.06,-0.2,-0.25,0.05,8.96,8.76,9.06,9.06,9.06
2025-06-16,8.95,9.01,8.91,8.92,19807.0,8.95,8.81,9.05,9.05,9.05,35.9,61.23,69.78,-0.18,-0.24,0.06,8.95,8.81,9.05,9.05,9.05
2025-06-23,8.92,9.13,8.87,9.06,20202.0,9.0,8.87,9.05,9.05,9.05,71.79,64.75,68.1,-0.15,-0.22,0.07,9.0,8.87,9.05,9.05,9.05
2025-06-30,9.12,9.25,9.11,9.16,21122.0,9.01,8.91,9.01,9.06,9.06,77.5,69.0,68.4,-0.12,-0.21,0.08,9.01,8.91,9.01,9.06,9.06
2025-07-07,9.17,9.29,9.16,9.27,9727.0,9.06,8.97,8.96,9.07,9.07,95.35,77.78,71.53,-0.09,-0.18,0.1,9.06,8.97,8.96,9.07,9.07
2025-07-14,9.25,9.48,9.22,9.47,19941.0,9.18,9.07,8.95,9.09,9.09,98.36,84.64,75.9,-0.04,-0.16,0.12,9.18,9.07,8.95,9.09,9.09
2025-07-21,9.46,9.55,9.43,9.52,14403.0,9.3,9.12,8.96,9.1,9.1,95.59,88.29,80.03,-0.0,-0.13,0.13,9.3,9.12,8.96,9.1,9.1
2025-07-28,9.59,9.88,9.58,9.69,24011.0,9.42,9.21,9.0,9.13,9.13,75.32,83.97,81.34,0.04,-0.1,0.14,9.42,9.21,9.0,9.13,9.13
2025-08-04,9.54,9.76,9.5,9.73,15963.0,9.54,9.27,9.03,9.15,9.15,79.17,82.37,81.68,0.08,-0.07,0.14,9.54,9.27,9.03,9.15,9.15
2025-08-11,9.82,9.98,9.81,9.96,16987.0,9.67,9.37,9.07,9.18,9.18,97.37,87.37,83.58,0.12,-0.03,0.15,9.67,9.37,9.07,9.18,9.18
2025-08-18,9.94,9.96,9.79,9.86,14265.0,9.75,9.46,9.11,9.21,9.21,78.18,84.31,83.82,0.14,-0.0,0.14,9.75,9.46,9.11,9.21,9.21
2025-08-25,9.95,10.08,9.91,10.05,21978.0,9.86,9.58,9.19,9.23,9.23,94.83,87.81,85.15,0.17,0.03,0.14,9.86,9.58,9.19,9.23,9.23
2025-09-01,9.99,10.12,9.95,10.09,11962.0,9.94,9.68,9.28,9.26,9.26,95.16,90.26,86.86,0.2,0.06,0.13,9.94,9.68,9.28,9.26,9.26
2025-09-08,10.09,10.12,10.04,10.09,14959.0,10.01,9.77,9.34,9.29,9.29,90.91,90.48,88.06,0.21,0.09,0.12,10.01,9.77,9.34,9.29,9.29
2025-09-15,10.13,10.28,10.13,10.26,15886.0,10.07,9.87,9.42,9.32,9.32,95.92,92.29,89.47,0.23,0.11,0.12,10.07,9.87,9.42,9.32,9.32
2025-09-22,10.34,10.42,10.34,10.35,12966.0,10.17,9.96,9.51,9.35,9.35,86.27,90.29,89.74,0.25,0.14,0.11,10.17,9.96,9.51,9.35,9.35
2025-09-30,10.41,10.46,10.35,10.45,3365.0,10.25,10.05,9.59,9.38,9.38,98.04,92.87,90.79,0.27,0.16,0.11,10.25,10.05,9.59,9.38,9.38
