ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-05-27,9.96,9.99,9.88,9.89,57960,9.09,9.09,9.09,0.0,0.0,0.0,9.89,9.89,9.89,9.89,9.89
2025-05-28,9.99,10.01,9.93,9.94,32109,46.15,21.45,13.21,0.0,0.0,0.0,9.91,9.91,9.91,9.91,9.91
2025-05-29,10.04,10.07,9.99,10.06,64192,94.74,45.88,24.1,0.02,0.0,0.01,9.96,9.96,9.96,9.96,9.96
2025-06-02,9.98,10.0,9.88,9.93,19873,26.32,39.36,29.18,0.02,0.01,0.01,9.96,9.96,9.96,9.96,9.96
2025-06-03,10.01,10.11,10.01,10.03,21480,65.22,47.98,35.45,0.02,0.01,0.01,9.97,9.97,9.97,9.97,9.97
2025-06-04,10.16,10.24,10.16,10.18,19468,83.33,59.76,43.55,0.04,0.02,0.03,10.03,10.01,10.01,10.01,10.01
2025-06-05,10.22,10.25,10.18,10.2,10436,86.49,68.67,51.93,0.06,0.02,0.03,10.08,10.03,10.03,10.03,10.03
2025-06-06,10.18,10.2,10.12,10.14,7477,70.27,69.2,57.68,0.06,0.03,0.03,10.1,10.05,10.05,10.05,10.05
2025-06-09,10.19,10.24,10.17,10.24,7815,95.83,78.08,64.48,0.07,0.04,0.03,10.16,10.07,10.07,10.07,10.07
2025-06-10,10.3,10.51,10.3,10.5,22086,97.44,84.53,71.17,0.1,0.05,0.05,10.25,10.11,10.11,10.11,10.11
2025-06-11,10.62,10.62,10.57,10.61,11441,98.0,89.02,77.12,0.13,0.06,0.07,10.34,10.18,10.16,10.16,10.16
2025-06-12,10.6,10.7,10.57,10.64,11117,89.66,89.23,81.16,0.15,0.08,0.07,10.43,10.25,10.2,10.2,10.2
2025-06-13,10.57,10.67,10.55,10.65,12510,90.57,89.68,84.0,0.17,0.1,0.07,10.53,10.31,10.23,10.23,10.23
2025-06-16,10.61,10.71,10.59,10.7,8406,97.56,92.31,86.77,0.18,0.11,0.07,10.62,10.39,10.26,10.26,10.26
2025-06-17,10.78,10.8,10.71,10.74,12432,76.0,86.87,86.8,0.19,0.12,0.06,10.67,10.46,10.3,10.3,10.3
2025-06-18,10.73,10.8,10.72,10.76,18803,84.0,85.91,86.5,0.19,0.14,0.06,10.7,10.52,10.33,10.33,10.33
2025-06-19,10.76,10.78,10.69,10.71,11210,64.0,78.61,83.87,0.19,0.15,0.04,10.71,10.57,10.35,10.35,10.35
2025-06-20,10.72,10.79,10.56,10.65,11493,37.5,64.91,77.55,0.18,0.15,0.03,10.71,10.62,10.36,10.36,10.36
2025-06-23,10.52,10.65,10.5,10.65,10959,50.0,59.94,71.68,0.17,0.16,0.01,10.7,10.66,10.38,10.38,10.38
2025-06-24,10.8,10.86,10.8,10.86,9305,100.0,73.29,72.22,0.17,0.16,0.02,10.73,10.7,10.4,10.4,10.4
2025-06-25,10.98,10.99,10.94,10.98,22901,97.96,81.51,75.32,0.19,0.16,0.02,10.77,10.73,10.46,10.43,10.43
2025-06-26,11.0,11.02,10.9,10.91,8132,78.85,80.62,77.09,0.19,0.17,0.02,10.81,10.76,10.51,10.45,10.45
2025-06-27,10.98,10.98,10.88,10.9,8653,76.92,79.39,77.85,0.18,0.17,0.01,10.86,10.79,10.55,10.47,10.47
2025-06-30,10.96,10.99,10.91,10.95,8017,68.18,75.65,77.12,0.18,0.17,0.01,10.92,10.81,10.6,10.49,10.49
2025-07-01,11.03,11.08,11.0,11.02,9914,70.0,73.77,76.0,0.18,0.17,0.01,10.95,10.84,10.65,10.51,10.51
2025-07-02,11.0,11.05,10.98,11.05,7454,85.0,77.51,76.51,0.18,0.18,0.01,10.97,10.87,10.69,10.53,10.53
2025-07-03,11.15,11.21,11.11,11.2,8517,96.97,84.0,79.0,0.19,0.18,0.01,11.02,10.92,10.74,10.56,10.56
2025-07-04,11.24,11.28,11.15,11.17,13190,70.27,79.42,79.14,0.19,0.18,0.01,11.08,10.97,10.79,10.58,10.58
2025-07-07,11.16,11.16,11.03,11.04,15979,20.0,59.62,72.63,0.18,0.18,-0.0,11.1,11.01,10.83,10.6,10.6
2025-07-08,11.02,11.15,11.0,11.14,15310,53.33,57.52,67.6,0.18,0.18,-0.0,11.12,11.04,10.87,10.61,10.61
2025-07-09,11.14,11.38,11.14,11.38,20220,100.0,71.68,68.96,0.19,0.18,0.01,11.19,11.08,10.9,10.64,10.64
2025-07-10,11.39,11.48,11.37,11.4,20377,83.33,75.56,71.16,0.2,0.19,0.01,11.23,11.12,10.94,10.66,10.66
2025-07-11,11.42,11.42,11.31,11.35,18232,72.92,74.68,72.33,0.2,0.19,0.01,11.26,11.17,10.98,10.68,10.68
2025-07-14,11.32,11.32,11.22,11.23,18241,47.92,65.76,70.14,0.18,0.19,-0.0,11.3,11.2,11.0,10.7,10.7
2025-07-15,11.26,11.41,11.26,11.4,15204,76.47,69.33,69.87,0.19,0.19,-0.0,11.35,11.24,11.04,10.72,10.72
2025-07-16,11.48,11.6,11.48,11.51,24786,76.32,71.66,70.47,0.19,0.19,0.0,11.38,11.28,11.08,10.74,10.74
2025-07-17,11.58,11.59,11.47,11.55,13335,86.84,76.72,72.55,0.2,0.19,0.01,11.41,11.32,11.12,10.76,10.76
2025-07-18,11.64,11.79,11.63,11.79,27299,100.0,84.48,76.53,0.22,0.2,0.02,11.5,11.38,11.17,10.79,10.79
2025-07-21,11.79,11.82,11.67,11.7,32205,78.57,82.51,78.52,0.22,0.2,0.02,11.59,11.44,11.23,10.81,10.81
2025-07-22,11.71,11.82,11.49,11.52,30728,14.29,59.77,72.27,0.21,0.2,0.01,11.61,11.48,11.26,10.83,10.83
2025-07-23,11.62,11.67,11.53,11.55,26009,22.86,47.46,64.0,0.19,0.2,-0.01,11.62,11.5,11.29,10.85,10.85
2025-07-24,11.64,11.71,11.6,11.69,20919,60.61,51.85,59.95,0.19,0.2,-0.01,11.65,11.53,11.33,10.87,10.87
2025-07-25,11.7,11.72,11.61,11.66,13770,51.52,51.74,57.21,0.19,0.2,-0.01,11.62,11.56,11.36,10.89,10.89
2025-07-28,11.71,11.79,11.67,11.79,15214,90.91,64.79,59.74,0.19,0.19,-0.01,11.64,11.62,11.41,10.91,10.91
2025-07-29,11.77,11.77,11.59,11.7,21774,65.38,64.99,61.49,0.18,0.19,-0.01,11.68,11.65,11.44,10.93,10.93
2025-07-30,11.75,11.78,11.62,11.72,18424,65.0,64.99,62.66,0.17,0.19,-0.02,11.71,11.67,11.47,10.94,10.94
2025-07-31,11.83,12.06,11.83,12.06,38342,100.0,76.66,67.33,0.19,0.19,0.0,11.79,11.72,11.52,10.97,10.97
2025-08-01,11.85,12.12,11.84,12.07,57168,90.57,81.3,71.98,0.21,0.19,0.01,11.87,11.75,11.56,10.99,10.99
2025-08-04,12.0,12.0,11.84,11.87,55506,52.83,71.81,71.92,0.19,0.19,0.0,11.88,11.76,11.6,11.01,11.01
2025-08-05,12.02,12.13,12.01,12.1,37126,94.12,79.24,74.36,0.2,0.19,0.01,11.96,11.82,11.65,11.03,11.03
2025-08-06,12.09,12.11,12.05,12.08,23051,83.33,80.61,76.45,0.2,0.2,0.01,12.04,11.87,11.69,11.05,11.05
2025-08-07,12.3,12.45,12.25,12.39,35074,90.16,83.79,78.89,0.23,0.2,0.03,12.1,11.94,11.74,11.08,11.08
2025-08-08,12.52,12.68,12.5,12.66,50433,97.62,88.4,82.06,0.26,0.21,0.05,12.22,12.04,11.8,11.11,11.11
2025-08-11,12.68,12.88,12.6,12.87,68497,98.85,91.88,85.34,0.31,0.23,0.08,12.42,12.15,11.88,11.14,11.14
2025-08-12,12.94,12.94,12.84,12.91,72496,96.63,93.47,88.05,0.33,0.25,0.09,12.58,12.27,11.96,11.17,11.17
2025-08-13,13.05,13.19,12.91,13.06,128196,86.17,91.03,89.04,0.36,0.27,0.09,12.78,12.41,12.04,11.2,11.2
2025-08-14,13.13,13.18,12.98,13.05,82695,79.71,87.26,88.45,0.38,0.29,0.09,12.91,12.51,12.11,11.24,11.24
2025-08-15,13.06,13.16,12.98,13.13,64159,89.83,88.12,88.34,0.39,0.31,0.08,13.0,12.61,12.18,11.27,11.27
2025-08-18,13.13,13.43,13.13,13.42,116164,98.31,91.51,89.4,0.41,0.33,0.09,13.11,12.77,12.26,11.31,11.31
2025-08-19,13.53,13.58,13.05,13.05,260610,20.9,67.97,82.26,0.39,0.34,0.06,13.14,12.86,12.34,11.34,11.34
2025-08-20,12.84,12.89,12.48,12.49,213664,0.91,45.62,70.04,0.32,0.34,-0.01,13.03,12.9,12.39,11.38,11.35
2025-08-21,12.6,12.77,12.6,12.68,87807,18.18,36.47,58.85,0.28,0.33,-0.04,12.95,12.93,12.44,11.42,11.38
2025-08-22,12.77,12.78,12.63,12.65,40529,15.45,29.47,49.06,0.24,0.31,-0.07,12.86,12.93,12.49,11.47,11.4
2025-08-25,12.99,13.1,12.96,13.0,82371,47.27,35.4,44.51,0.24,0.3,-0.06,12.77,12.94,12.55,11.52,11.42
2025-08-26,12.98,13.07,12.87,13.07,58720,95.16,55.32,48.11,0.24,0.29,-0.05,12.78,12.96,12.62,11.57,11.45
2025-08-27,13.21,13.38,13.15,13.38,79055,100.0,70.21,55.48,0.27,0.28,-0.02,12.96,12.99,12.7,11.62,11.48
2025-08-28,13.3,13.39,13.22,13.35,75690,94.74,78.39,63.12,0.28,0.28,-0.01,13.09,13.02,12.76,11.67,11.5
2025-08-29,13.52,13.65,13.49,13.59,118926,92.31,83.03,69.75,0.3,0.29,0.01,13.28,13.07,12.84,11.73,11.53
2025-09-01,13.55,13.57,13.0,13.09,235066,28.21,64.75,68.09,0.27,0.28,-0.01,13.3,13.04,12.9,11.78,11.56
2025-09-02,13.23,13.23,12.83,12.95,133364,14.63,48.05,61.41,0.23,0.27,-0.04,13.27,13.02,12.94,11.82,11.58
2025-09-03,12.91,13.04,12.91,13.0,46691,20.73,38.94,53.92,0.2,0.26,-0.06,13.2,13.08,12.99,11.86,11.6
2025-09-04,13.19,13.2,12.98,13.0,66247,20.73,32.87,46.9,0.17,0.24,-0.07,13.13,13.11,13.02,11.9,11.62
2025-09-05,13.2,13.3,13.16,13.29,94234,62.16,42.64,45.48,0.18,0.23,-0.05,13.07,13.17,13.05,11.94,11.64
2025-09-08,13.45,13.45,13.34,13.38,63870,88.71,57.99,49.65,0.18,0.22,-0.04,13.12,13.21,13.08,11.99,11.66
2025-09-09,13.48,13.55,13.43,13.48,69209,89.06,68.35,55.88,0.2,0.22,-0.02,13.23,13.25,13.11,12.03,11.69
2025-09-10,13.65,13.85,13.63,13.83,93158,97.7,78.13,63.3,0.23,0.22,0.01,13.4,13.3,13.14,12.09,11.71
