ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,ma5.1,ma10.1,ma20.1,ma60.1,ma120.1,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-05-27,9.96,10.07,9.88,10.06,154261.0,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,94.74,94.74,94.74,0.0,0.0,0.0,10.06,10.06,10.06,10.06,10.06
2025-06-02,9.98,10.25,9.88,10.14,78734.0,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,70.27,86.58,92.02,0.01,0.0,0.01,10.1,10.1,10.1,10.1,10.1
2025-06-09,10.19,10.7,10.17,10.65,64969.0,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,93.9,89.02,91.02,0.06,0.01,0.04,10.28,10.28,10.28,10.28,10.28
2025-06-16,10.61,10.8,10.56,10.65,62344.0,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,83.7,87.25,89.76,0.09,0.03,0.07,10.38,10.38,10.38,10.38,10.38
2025-06-23,10.52,11.02,10.5,10.9,59950.0,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48,89.47,87.99,89.17,0.14,0.05,0.09,10.48,10.48,10.48,10.48,10.48
2025-06-30,10.96,11.28,10.91,11.17,47092.0,10.7,10.6,10.6,10.6,10.6,10.7,10.6,10.6,10.6,10.6,92.14,89.37,89.24,0.19,0.07,0.12,10.7,10.6,10.6,10.6,10.6
2025-07-07,11.16,11.48,11.0,11.35,90118.0,10.94,10.7,10.7,10.7,10.7,10.94,10.7,10.7,10.7,10.7,90.08,89.61,89.36,0.25,0.1,0.14,10.94,10.7,10.7,10.7,10.7
2025-07-14,11.32,11.79,11.22,11.79,98865.0,11.17,10.84,10.84,10.84,10.84,11.17,10.84,10.84,10.84,10.84,100.0,93.07,90.6,0.32,0.14,0.18,11.17,10.84,10.84,10.84,10.84
2025-07-21,11.79,11.82,11.49,11.66,123631.0,11.37,10.93,10.93,10.93,10.93,11.37,10.93,10.93,10.93,10.93,87.88,91.34,90.85,0.36,0.18,0.17,11.37,10.93,10.93,10.93,10.93
2025-07-28,11.71,12.12,11.59,12.07,150922.0,11.61,11.04,11.04,11.04,11.04,11.61,11.04,11.04,11.04,11.04,95.87,92.85,91.51,0.41,0.22,0.19,11.61,11.04,11.04,11.04,11.04
2025-08-04,12.0,12.68,11.84,12.66,201190.0,11.91,11.3,11.19,11.19,11.19,11.91,11.3,11.19,11.19,11.19,98.81,94.84,92.62,0.5,0.27,0.23,11.91,11.3,11.19,11.19,11.19
2025-08-11,12.68,13.19,12.6,13.13,416043.0,12.26,11.6,11.35,11.35,11.35,12.26,11.6,11.35,11.35,11.35,96.95,95.54,93.6,0.6,0.33,0.26,12.26,11.6,11.35,11.35,11.35
2025-08-18,13.13,13.58,12.48,12.65,718774.0,12.43,11.8,11.45,11.45,11.45,12.43,11.8,11.45,11.45,11.45,55.5,82.2,89.8,0.61,0.38,0.23,12.43,11.8,11.45,11.45,11.45
2025-08-25,12.99,13.65,12.87,13.59,414762.0,12.82,12.1,11.6,11.6,11.6,12.82,12.1,11.6,11.6,11.6,97.09,87.16,88.92,0.7,0.44,0.26,12.82,12.1,11.6,11.6,11.6
2025-09-01,13.55,13.57,12.83,13.29,575602.0,13.06,12.34,11.72,11.72,11.72,13.06,12.34,11.72,11.72,11.72,80.11,84.81,87.55,0.72,0.49,0.23,13.06,12.34,11.72,11.72,11.72
2025-09-08,13.45,14.09,13.34,13.73,473177.0,13.28,12.59,11.84,11.84,11.84,13.28,12.59,11.84,11.84,11.84,77.64,82.42,85.84,0.77,0.54,0.23,13.28,12.59,11.84,11.84,11.84
2025-09-15,13.72,14.0,13.46,13.76,348667.0,13.4,12.83,11.96,11.96,11.96,13.4,12.83,11.96,11.96,11.96,79.5,81.45,84.37,0.79,0.59,0.2,13.4,12.83,11.96,11.96,11.96
2025-09-22,13.79,13.99,13.13,13.2,346789.0,13.51,12.97,12.02,12.02,12.02,13.51,12.97,12.02,12.02,12.02,29.37,64.09,77.61,0.74,0.62,0.13,13.51,12.97,12.02,12.02,12.02
2025-09-30,13.33,14.03,13.32,14.03,268316.0,13.6,13.21,12.13,12.13,12.13,13.6,13.21,12.13,12.13,12.13,95.24,74.47,76.56,0.77,0.64,0.12,13.6,13.21,12.13,12.13,12.13
2025-10-07,14.28,14.31,13.86,14.18,152958.0,13.78,13.42,12.23,12.23,12.23,13.78,13.42,12.23,12.23,12.23,88.98,79.31,77.48,0.79,0.67,0.12,13.78,13.42,12.23,12.23,12.23
2025-10-13,13.75,14.32,13.67,14.1,306935.0,13.85,13.57,12.43,12.32,12.32,13.85,13.57,12.43,12.32,12.32,81.51,80.04,78.33,0.78,0.69,0.09,13.85,13.57,12.43,12.32,12.32
2025-10-20,14.2,14.52,14.12,14.29,145531.0,13.96,13.68,12.64,12.41,12.41,13.96,13.68,12.64,12.41,12.41,83.45,81.18,79.28,0.78,0.71,0.07,13.96,13.68,12.64,12.41,12.41
