ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-09-16,10.02,10.03,10.0,10.0,20847,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0
2025-09-17,10.0,10.0,9.96,9.99,12574,42.86,14.29,4.76,-0.0,-0.0,-0.0,10.0,10.0,10.0,10.0,10.0
2025-09-18,9.99,10.02,9.99,10.0,7040,57.14,28.57,12.7,-0.0,-0.0,-0.0,10.0,10.0,10.0,10.0,10.0
2025-09-19,10.01,10.04,10.01,10.03,11641,87.5,48.21,24.54,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0
2025-09-22,10.06,10.11,10.06,10.09,10779,86.67,61.03,36.7,0.01,0.0,0.01,10.02,10.02,10.02,10.02,10.02
2025-09-23,10.09,10.11,10.07,10.11,16441,100.0,74.02,49.14,0.02,0.0,0.01,10.04,10.04,10.04,10.04,10.04
2025-09-24,10.13,10.16,10.13,10.16,6483,100.0,82.68,60.32,0.03,0.01,0.02,10.08,10.05,10.05,10.05,10.05
2025-09-25,10.18,10.19,10.16,10.17,10797,88.89,84.75,68.46,0.03,0.01,0.02,10.11,10.07,10.07,10.07,10.07
2025-09-26,10.17,10.19,10.17,10.17,7938,84.62,84.71,73.88,0.04,0.02,0.02,10.14,10.08,10.08,10.08,10.08
2025-09-30,10.17,10.18,10.16,10.17,8465,83.33,84.25,77.33,0.04,0.02,0.02,10.16,10.09,10.09,10.09,10.09
2025-10-01,10.16,10.16,10.15,10.15,2528,33.33,67.28,73.98,0.04,0.02,0.02,10.16,10.1,10.09,10.09,10.09
2025-10-02,10.16,10.16,10.13,10.14,4405,16.67,50.41,66.12,0.04,0.03,0.01,10.16,10.12,10.1,10.1,10.1
2025-10-03,10.15,10.16,10.13,10.13,4653,0.0,33.6,55.28,0.04,0.03,0.01,10.15,10.13,10.1,10.1,10.1
2025-10-07,10.14,10.17,10.12,10.13,6660,16.67,27.96,46.18,0.03,0.03,0.0,10.14,10.14,10.1,10.1,10.1
2025-10-08,10.16,10.19,10.16,10.17,4704,71.43,42.45,44.93,0.03,0.03,0.0,10.14,10.15,10.11,10.11,10.11
2025-10-09,10.18,10.18,10.14,10.15,5583,42.86,42.58,44.15,0.03,0.03,0.0,10.14,10.15,10.11,10.11,10.11
2025-10-13,10.15,10.15,10.12,10.13,6121,14.29,33.15,40.48,0.03,0.03,-0.0,10.14,10.15,10.11,10.11,10.11
2025-10-14,10.16,10.19,10.16,10.17,5854,71.43,45.91,42.29,0.03,0.03,-0.0,10.15,10.15,10.11,10.11,10.11
2025-10-15,10.19,10.2,10.15,10.15,4320,37.5,43.11,42.56,0.03,0.03,-0.0,10.15,10.15,10.12,10.12,10.12
2025-10-16,10.18,10.19,10.16,10.18,5553,75.0,53.74,46.29,0.03,0.03,-0.0,10.16,10.15,10.12,10.12,10.12
2025-10-17,10.17,10.18,10.16,10.16,4319,50.0,52.49,48.36,0.03,0.03,-0.0,10.16,10.15,10.13,10.12,10.12
2025-10-20,10.18,10.18,10.15,10.15,5800,0.0,34.99,43.9,0.02,0.03,-0.0,10.16,10.15,10.14,10.12,10.12
2025-10-21,10.15,10.18,10.15,10.16,4385,20.0,30.0,39.27,0.02,0.03,-0.0,10.16,10.15,10.14,10.12,10.12
2025-10-22,10.16,10.22,10.16,10.22,4291,100.0,53.33,43.96,0.03,0.03,-0.0,10.17,10.16,10.15,10.13,10.13
2025-10-23,10.21,10.24,10.21,10.23,2645,88.89,65.18,51.03,0.03,0.03,0.0,10.18,10.17,10.16,10.13,10.13
