ts,Open,High,Low,Close,Volume,Amount
2025-09-16 09:01:00,10.02,10.02,10.01,10.01,4378,43865850.0
2025-09-16 09:02:00,10.02,10.02,10.01,10.02,1469,14718680.0
2025-09-16 09:03:00,10.02,10.02,10.02,10.02,545,5460900.0
2025-09-16 09:04:00,10.02,10.02,10.02,10.02,384,3847680.0
2025-09-16 09:05:00,10.02,10.02,10.02,10.02,630,6312600.0
2025-09-16 09:06:00,10.02,10.03,10.02,10.02,209,2094480.0
2025-09-16 09:07:00,10.02,10.02,10.01,10.02,218,2183760.0
2025-09-16 09:08:00,10.02,10.02,10.02,10.02,515,5160300.0
2025-09-16 09:09:00,10.02,10.02,10.01,10.02,30,300470.0
2025-09-16 09:10:00,10.02,10.02,10.02,10.02,42,420840.0
2025-09-16 09:11:00,10.02,10.02,10.01,10.01,29,290560.0
2025-09-16 09:12:00,10.01,10.01,10.01,10.01,11,110110.0
2025-09-16 09:13:00,10.02,10.02,10.01,10.01,62,620670.0
2025-09-16 09:14:00,10.02,10.02,10.01,10.02,24,240280.0
2025-09-16 09:15:00,10.01,10.01,10.01,10.01,72,720720.0
2025-09-16 09:17:00,10.02,10.02,10.01,10.02,27,270490.0
2025-09-16 09:18:00,10.02,10.02,10.01,10.01,18,180320.0
2025-09-16 09:20:00,10.02,10.02,10.01,10.01,16,160220.0
2025-09-16 09:21:00,10.01,10.01,10.01,10.01,70,700700.0
2025-09-16 09:22:00,10.01,10.02,10.01,10.02,32,320390.0
2025-09-16 09:24:00,10.02,10.02,10.01,10.02,264,2645230.0
2025-09-16 09:25:00,10.02,10.02,10.01,10.01,32,320340.0
2025-09-16 09:26:00,10.01,10.01,10.01,10.01,20,200200.0
2025-09-16 09:27:00,10.02,10.02,10.02,10.02,10,100200.0
2025-09-16 09:28:00,10.02,10.02,10.01,10.02,19,190370.0
2025-09-16 09:29:00,10.01,10.01,10.01,10.01,100,1001000.0
2025-09-16 09:30:00,10.02,10.02,10.02,10.02,22,220440.0
2025-09-16 09:31:00,10.02,10.02,10.01,10.01,17,170240.0
2025-09-16 09:32:00,10.02,10.02,10.02,10.02,2,20040.0
2025-09-16 09:33:00,10.02,10.02,10.01,10.01,311,3113120.0
2025-09-16 09:34:00,10.02,10.02,10.01,10.02,420,4207700.0
2025-09-16 09:35:00,10.02,10.02,10.01,10.02,35,350500.0
2025-09-16 09:36:00,10.02,10.02,10.02,10.02,27,270540.0
2025-09-16 09:37:00,10.01,10.02,10.01,10.02,101,1011020.0
2025-09-16 09:38:00,10.02,10.02,10.02,10.02,13,130260.0
2025-09-16 09:39:00,10.02,10.02,10.02,10.02,16,160320.0
2025-09-16 09:40:00,10.02,10.02,10.01,10.02,100,1001870.0
2025-09-16 09:41:00,10.01,10.02,10.01,10.02,229,2292420.0
2025-09-16 09:42:00,10.01,10.01,10.01,10.01,1,10010.0
2025-09-16 09:43:00,10.01,10.01,10.01,10.01,89,890890.0
2025-09-16 09:44:00,10.01,10.01,10.01,10.01,25,250250.0
2025-09-16 09:45:00,10.02,10.02,10.01,10.01,152,1522140.0
2025-09-16 09:46:00,10.01,10.02,10.01,10.02,150,1502070.0
2025-09-16 09:48:00,10.01,10.02,10.01,10.02,8,80150.0
2025-09-16 09:49:00,10.01,10.02,10.01,10.01,26,260310.0
2025-09-16 09:50:00,10.02,10.02,10.01,10.01,310,3106100.0
2025-09-16 09:51:00,10.02,10.02,10.02,10.02,407,4078140.0
2025-09-16 09:52:00,10.02,10.02,10.02,10.02,25,250500.0
2025-09-16 09:53:00,10.02,10.02,10.02,10.02,306,3066120.0
2025-09-16 09:54:00,10.02,10.02,10.02,10.02,120,1202400.0
2025-09-16 09:55:00,10.02,10.02,10.01,10.01,75,751400.0
2025-09-16 09:56:00,10.01,10.01,10.01,10.01,7,70070.0
2025-09-16 09:57:00,10.02,10.02,10.02,10.02,21,210420.0
2025-09-16 09:58:00,10.02,10.02,10.02,10.02,3,30060.0
2025-09-16 09:59:00,10.01,10.02,10.01,10.02,16,160170.0
2025-09-16 10:01:00,10.01,10.02,10.01,10.02,52,520540.0
2025-09-16 10:03:00,10.02,10.02,10.02,10.02,20,200400.0
2025-09-16 10:05:00,10.02,10.02,10.02,10.02,3,30060.0
2025-09-16 10:06:00,10.01,10.02,10.01,10.01,73,730760.0
2025-09-16 10:07:00,10.01,10.01,10.01,10.01,10,100100.0
2025-09-16 10:10:00,10.02,10.02,10.02,10.02,10,100200.0
2025-09-16 10:11:00,10.02,10.02,10.02,10.02,2,20040.0
2025-09-16 10:12:00,10.02,10.02,10.02,10.02,2,20040.0
2025-09-16 10:13:00,10.02,10.02,10.02,10.02,3,30060.0
2025-09-16 10:14:00,10.02,10.02,10.02,10.02,301,3016020.0
2025-09-16 10:15:00,10.02,10.02,10.02,10.02,4,40080.0
2025-09-16 10:16:00,10.02,10.02,10.02,10.02,36,360720.0
2025-09-16 10:18:00,10.02,10.02,10.02,10.02,2,20040.0
2025-09-16 10:19:00,10.02,10.02,10.01,10.01,67,670900.0
2025-09-16 10:20:00,10.02,10.02,10.02,10.02,11,110220.0
2025-09-16 10:21:00,10.02,10.02,10.01,10.02,57,571110.0
2025-09-16 10:22:00,10.02,10.02,10.02,10.02,20,200400.0
2025-09-16 10:23:00,10.02,10.02,10.01,10.02,25,250450.0
2025-09-16 10:24:00,10.02,10.02,10.02,10.02,30,300600.0
2025-09-16 10:25:00,10.01,10.02,10.01,10.01,65,650850.0
2025-09-16 10:26:00,10.01,10.02,10.01,10.02,10,100150.0
2025-09-16 10:27:00,10.01,10.01,10.01,10.01,60,600600.0
2025-09-16 10:28:00,10.01,10.01,10.01,10.01,11,110110.0
2025-09-16 10:29:00,10.02,10.02,10.01,10.02,50,500900.0
2025-09-16 10:30:00,10.01,10.02,10.01,10.01,125,1251750.0
2025-09-16 10:31:00,10.01,10.01,10.01,10.01,30,300300.0
2025-09-16 10:32:00,10.01,10.02,10.01,10.02,14,140190.0
2025-09-16 10:34:00,10.02,10.02,10.02,10.02,20,200400.0
2025-09-16 10:35:00,10.02,10.02,10.02,10.02,8,80160.0
2025-09-16 10:36:00,10.02,10.02,10.02,10.02,51,511020.0
2025-09-16 10:37:00,10.02,10.02,10.02,10.02,160,1603200.0
2025-09-16 10:38:00,10.02,10.02,10.02,10.02,20,200400.0
2025-09-16 10:39:00,10.02,10.02,10.02,10.02,3,30060.0
2025-09-16 10:40:00,10.02,10.02,10.01,10.01,7,70120.0
2025-09-16 10:41:00,10.02,10.02,10.02,10.02,150,1503000.0
2025-09-16 10:42:00,10.02,10.02,10.02,10.02,6,60120.0
2025-09-16 10:43:00,10.02,10.02,10.02,10.02,11,110220.0
2025-09-16 10:44:00,10.02,10.02,10.02,10.02,1,10020.0
2025-09-16 10:45:00,10.02,10.02,10.02,10.02,13,130260.0
2025-09-16 10:46:00,10.02,10.02,10.02,10.02,19,190380.0
2025-09-16 10:47:00,10.02,10.02,10.02,10.02,6,60120.0
2025-09-16 10:49:00,10.02,10.02,10.02,10.02,12,120240.0
2025-09-16 10:52:00,10.02,10.02,10.02,10.02,20,200400.0
2025-09-16 10:53:00,10.02,10.02,10.01,10.02,104,1042070.0
2025-09-16 10:55:00,10.02,10.02,10.01,10.02,41,410720.0
2025-09-16 10:56:00,10.01,10.01,10.01,10.01,10,100100.0
2025-09-16 10:58:00,10.02,10.02,10.01,10.01,9,90130.0
2025-09-16 10:59:00,10.02,10.02,10.02,10.02,25,250500.0
2025-09-16 11:00:00,10.02,10.02,10.02,10.02,35,350700.0
2025-09-16 11:01:00,10.02,10.02,10.02,10.02,111,1112220.0
2025-09-16 11:02:00,10.02,10.02,10.02,10.02,5,50100.0
2025-09-16 11:03:00,10.01,10.02,10.01,10.02,3,30050.0
