ts,Open,High,Low,Close,Volume,Amount
2025-05-22 09:03:00,10.01,10.02,10.0,10.0,95193,953038940.0
2025-05-22 09:04:00,10.01,10.01,10.0,10.0,1780,17802310.0
2025-05-22 09:05:00,10.0,10.01,10.0,10.01,7341,73476140.0
2025-05-22 09:06:00,10.01,10.02,10.01,10.02,3991,39982440.0
2025-05-22 09:07:00,10.02,10.02,10.01,10.02,10906,109268070.0
2025-05-22 09:08:00,10.02,10.03,10.01,10.02,6475,64904020.0
2025-05-22 09:09:00,10.02,10.03,10.02,10.03,4728,47410530.0
2025-05-22 09:10:00,10.02,10.04,10.02,10.04,16716,167661370.0
2025-05-22 09:11:00,10.03,10.04,10.03,10.03,2910,29189820.0
2025-05-22 09:12:00,10.03,10.04,10.03,10.03,1897,19032380.0
2025-05-22 09:13:00,10.04,10.04,10.03,10.04,11494,115390940.0
2025-05-22 09:14:00,10.04,10.05,10.03,10.04,6376,64058120.0
2025-05-22 09:15:00,10.05,10.05,10.04,10.05,3030,30446340.0
2025-05-22 09:16:00,10.04,10.06,10.04,10.06,7969,80091390.0
2025-05-22 09:17:00,10.05,10.08,10.05,10.07,9048,91065380.0
2025-05-22 09:18:00,10.07,10.08,10.07,10.08,2315,23313610.0
2025-05-22 09:19:00,10.07,10.08,10.07,10.07,2577,25952120.0
2025-05-22 09:20:00,10.07,10.07,10.06,10.06,1586,15956990.0
2025-05-22 09:21:00,10.06,10.07,10.05,10.05,3151,31698990.0
2025-05-22 09:22:00,10.05,10.06,10.05,10.05,1364,13713500.0
2025-05-22 09:23:00,10.05,10.06,10.05,10.05,315,3166500.0
2025-05-22 09:24:00,10.05,10.07,10.05,10.06,2701,27172160.0
2025-05-22 09:25:00,10.06,10.08,10.06,10.07,3094,31152400.0
2025-05-22 09:26:00,10.07,10.08,10.07,10.08,1357,13666590.0
2025-05-22 09:27:00,10.08,10.08,10.07,10.08,3703,37325320.0
2025-05-22 09:28:00,10.08,10.09,10.08,10.08,1205,12146560.0
2025-05-22 09:29:00,10.09,10.09,10.08,10.08,943,9505950.0
2025-05-22 09:30:00,10.09,10.09,10.08,10.09,755,7610680.0
2025-05-22 09:31:00,10.08,10.09,10.08,10.09,499,5030690.0
2025-05-22 09:32:00,10.09,10.1,10.08,10.09,2501,25233600.0
2025-05-22 09:33:00,10.08,10.09,10.08,10.09,143,1441800.0
2025-05-22 09:34:00,10.08,10.09,10.08,10.08,310,3124960.0
2025-05-22 09:35:00,10.08,10.09,10.08,10.08,245,2470060.0
2025-05-22 09:36:00,10.08,10.09,10.08,10.09,200,2016550.0
2025-05-22 09:37:00,10.08,10.09,10.08,10.08,476,4798140.0
2025-05-22 09:38:00,10.08,10.08,10.07,10.07,990,9974500.0
2025-05-22 09:39:00,10.07,10.08,10.07,10.08,1313,13232820.0
2025-05-22 09:40:00,10.08,10.08,10.08,10.08,301,3034080.0
2025-05-22 09:41:00,10.08,10.08,10.07,10.07,170,1712400.0
2025-05-22 09:42:00,10.07,10.08,10.07,10.08,383,3859430.0
2025-05-22 09:43:00,10.08,10.08,10.07,10.08,295,2973550.0
2025-05-22 09:44:00,10.08,10.08,10.07,10.08,993,10009300.0
2025-05-22 09:45:00,10.08,10.08,10.07,10.08,273,2750920.0
2025-05-22 09:46:00,10.07,10.08,10.07,10.07,399,4018040.0
2025-05-22 09:47:00,10.07,10.08,10.07,10.07,124,1248780.0
2025-05-22 09:48:00,10.08,10.08,10.07,10.08,208,2095740.0
2025-05-22 09:49:00,10.08,10.08,10.07,10.07,291,2930470.0
2025-05-22 09:50:00,10.07,10.07,10.07,10.07,29,292030.0
2025-05-22 09:51:00,10.06,10.07,10.06,10.06,206,2072610.0
2025-05-22 09:52:00,10.07,10.07,10.06,10.07,188,1891770.0
2025-05-22 09:53:00,10.06,10.07,10.06,10.06,157,1579580.0
2025-05-22 09:54:00,10.06,10.07,10.06,10.06,337,3390230.0
2025-05-22 09:55:00,10.06,10.07,10.06,10.06,214,2152980.0
2025-05-22 09:56:00,10.06,10.06,10.05,10.06,200,2011200.0
2025-05-22 09:57:00,10.05,10.06,10.05,10.05,336,3376880.0
2025-05-22 09:58:00,10.05,10.06,10.05,10.05,430,4321520.0
2025-05-22 09:59:00,10.05,10.05,10.05,10.05,604,6070200.0
2025-05-22 10:00:00,10.05,10.05,10.05,10.05,18,180900.0
2025-05-22 10:01:00,10.05,10.05,10.04,10.05,32,321450.0
2025-05-22 10:02:00,10.04,10.05,10.04,10.04,312,3133730.0
2025-05-22 10:03:00,10.05,10.05,10.04,10.04,259,2600420.0
2025-05-22 10:04:00,10.04,10.05,10.04,10.05,278,2793460.0
2025-05-22 10:05:00,10.04,10.05,10.04,10.04,49,492040.0
2025-05-22 10:06:00,10.04,10.04,10.04,10.04,143,1435720.0
2025-05-22 10:07:00,10.04,10.05,10.04,10.04,72,722990.0
2025-05-22 10:08:00,10.04,10.05,10.04,10.05,449,4511950.0
2025-05-22 10:09:00,10.05,10.05,10.05,10.05,68,683400.0
2025-05-22 10:10:00,10.05,10.05,10.05,10.05,126,1266300.0
2025-05-22 10:11:00,10.05,10.06,10.05,10.06,50,502510.0
2025-05-22 10:12:00,10.06,10.06,10.04,10.05,179,1799870.0
2025-05-22 10:13:00,10.05,10.05,10.04,10.04,43,431950.0
