ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-05-22,10.01,10.15,10.0,10.02,326650.0,10.02,10.02,10.02,10.02,10.02,13.33,13.33,13.33,0.0,0.0,0.0,10.02,10.02,10.02,10.02,10.02
2025-05-26,10.0,10.13,9.93,10.06,107615.0,10.04,10.04,10.04,10.04,10.04,59.09,28.59,18.42,0.0,0.0,0.0,10.04,10.04,10.04,10.04,10.04
2025-06-02,9.97,10.22,9.84,10.1,91705.0,10.06,10.06,10.06,10.06,10.06,68.42,41.86,26.23,0.01,0.0,0.01,10.06,10.06,10.06,10.06,10.06
2025-06-09,10.15,10.65,10.1,10.57,73317.0,10.19,10.19,10.19,10.19,10.19,90.12,57.95,36.81,0.05,0.01,0.04,10.19,10.19,10.19,10.19,10.19
2025-06-16,10.53,10.75,10.46,10.51,184987.0,10.25,10.25,10.25,10.25,10.25,73.63,63.18,45.6,0.08,0.02,0.06,10.25,10.25,10.25,10.25,10.25
2025-06-23,10.4,10.97,10.35,10.87,174317.0,10.42,10.35,10.35,10.35,10.35,91.15,72.5,54.56,0.13,0.04,0.09,10.42,10.35,10.35,10.35,10.35
2025-06-30,10.89,11.17,10.85,10.98,116723.0,10.61,10.44,10.44,10.44,10.44,85.71,76.91,62.01,0.18,0.07,0.11,10.61,10.44,10.44,10.44,10.44
2025-07-07,10.93,11.19,10.8,11.16,171547.0,10.82,10.53,10.53,10.53,10.53,97.25,83.69,69.24,0.22,0.1,0.13,10.82,10.53,10.53,10.53,10.53
2025-07-14,11.13,11.48,10.99,11.46,114519.0,11.0,10.64,10.64,10.64,10.64,98.23,88.53,75.67,0.28,0.13,0.15,11.0,10.64,10.64,10.64,10.64
2025-07-21,11.48,11.53,11.2,11.38,108594.0,11.17,10.71,10.71,10.71,10.71,87.29,88.12,79.82,0.31,0.16,0.15,11.17,10.71,10.71,10.71,10.71
2025-07-28,11.44,11.84,11.41,11.81,213674.0,11.36,10.89,10.81,10.81,10.81,97.12,91.12,83.59,0.36,0.2,0.16,11.36,10.89,10.81,10.81,10.81
2025-08-04,11.77,12.46,11.71,12.44,325834.0,11.65,11.13,10.95,10.95,10.95,98.8,93.68,86.95,0.45,0.24,0.21,11.65,11.13,10.95,10.95,10.95
2025-08-11,12.5,12.82,12.4,12.79,475769.0,11.98,11.4,11.09,11.09,11.09,98.36,95.24,89.71,0.54,0.3,0.24,11.98,11.4,11.09,11.09,11.09
2025-08-18,12.58,12.91,12.0,12.16,504246.0,12.12,11.56,11.16,11.16,11.16,56.14,82.21,87.21,0.54,0.34,0.2,12.12,11.56,11.16,11.16,11.16
2025-08-25,12.53,13.02,12.33,13.0,296040.0,12.44,11.8,11.29,11.29,11.29,98.76,87.72,87.38,0.6,0.39,0.21,12.44,11.8,11.29,11.29,11.29
2025-09-01,12.97,13.07,12.3,12.68,419139.0,12.61,11.99,11.37,11.37,11.37,71.32,82.26,85.67,0.61,0.43,0.18,12.61,11.99,11.37,11.37,11.37
2025-09-08,12.81,13.32,12.69,13.0,343126.0,12.73,12.19,11.47,11.47,11.47,75.76,80.09,83.81,0.63,0.47,0.17,12.73,12.19,11.47,11.47,11.47
2025-09-15,12.97,13.0,12.64,12.88,233584.0,12.74,12.36,11.55,11.55,11.55,66.67,75.62,81.08,0.63,0.5,0.14,12.74,12.36,11.55,11.55,11.55
2025-09-22,12.9,13.2,12.53,12.6,238113.0,12.83,12.47,11.6,11.6,11.6,29.41,60.21,74.12,0.59,0.51,0.08,12.83,12.47,11.6,11.6,11.6
2025-09-30,12.7,12.9,12.6,12.9,35877.0,12.81,12.63,11.67,11.67,11.67,58.82,59.75,69.33,0.58,0.53,0.06,12.81,12.63,11.67,11.67,11.67
