ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,ma5.1,ma10.1,ma20.1,ma60.1,ma120.1,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-06-18,10.02,10.07,10.02,10.07,28496,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,100.0,100.0,100.0,0.0,0.0,0.0,10.07,10.07,10.07,10.07,10.07
2025-06-19,10.13,10.16,10.1,10.15,14464,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,92.86,97.62,99.21,0.01,0.0,0.01,10.11,10.11,10.11,10.11,10.11
2025-06-20,10.15,10.16,10.13,10.14,8035,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,85.71,93.65,97.35,0.01,0.0,0.01,10.12,10.12,10.12,10.12,10.12
2025-06-23,10.1,10.15,10.07,10.15,4007,10.13,10.13,10.13,10.13,10.13,10.13,10.13,10.13,10.13,10.13,92.86,93.39,96.03,0.01,0.01,0.01,10.13,10.13,10.13,10.13,10.13
2025-06-24,10.35,10.35,10.3,10.32,6633,10.17,10.17,10.17,10.17,10.17,10.17,10.17,10.17,10.17,10.17,90.91,92.56,94.87,0.03,0.01,0.02,10.17,10.17,10.17,10.17,10.17
2025-06-25,10.46,10.47,10.4,10.45,11357,10.24,10.21,10.21,10.21,10.21,10.24,10.21,10.21,10.21,10.21,95.0,93.37,94.37,0.06,0.02,0.04,10.24,10.21,10.21,10.21,10.21
2025-06-26,10.38,10.38,10.3,10.32,11457,10.28,10.23,10.23,10.23,10.23,10.28,10.23,10.23,10.23,10.23,62.5,83.08,90.61,0.06,0.03,0.03,10.28,10.23,10.23,10.23,10.23
2025-06-27,10.42,10.43,10.37,10.38,7159,10.32,10.25,10.25,10.25,10.25,10.32,10.25,10.25,10.25,10.25,77.5,81.22,87.48,0.07,0.03,0.03,10.32,10.25,10.25,10.25,10.25
2025-06-30,10.4,10.42,10.33,10.39,6584,10.37,10.26,10.26,10.26,10.26,10.37,10.26,10.26,10.26,10.26,52.94,71.79,82.25,0.07,0.04,0.03,10.37,10.26,10.26,10.26,10.26
2025-07-01,10.44,10.44,10.35,10.35,9242,10.38,10.27,10.27,10.27,10.27,10.38,10.27,10.27,10.27,10.27,29.41,57.67,74.06,0.07,0.05,0.03,10.38,10.27,10.27,10.27,10.27
2025-07-02,10.19,10.19,10.15,10.18,8653,10.32,10.28,10.26,10.26,10.26,10.32,10.28,10.26,10.26,10.26,10.34,41.89,63.34,0.06,0.05,0.01,10.32,10.28,10.26,10.26,10.26
2025-07-03,10.28,10.29,10.22,10.24,3799,10.31,10.29,10.26,10.26,10.26,10.31,10.29,10.26,10.26,10.26,31.03,38.27,54.98,0.05,0.05,0.0,10.31,10.29,10.26,10.26,10.26
2025-07-04,10.25,10.29,10.23,10.23,2476,10.28,10.3,10.26,10.26,10.26,10.28,10.3,10.26,10.26,10.26,27.59,34.71,48.22,0.04,0.05,-0.01,10.28,10.3,10.26,10.26,10.26
2025-07-07,10.23,10.26,10.21,10.24,4609,10.25,10.31,10.26,10.26,10.26,10.25,10.31,10.26,10.26,10.26,31.03,33.49,43.31,0.04,0.05,-0.01,10.25,10.31,10.26,10.26,10.26
2025-07-08,10.24,10.28,10.24,10.27,2940,10.23,10.31,10.26,10.26,10.26,10.23,10.31,10.26,10.26,10.26,85.71,50.9,45.84,0.03,0.04,-0.01,10.23,10.31,10.26,10.26,10.26
2025-07-09,10.26,10.26,10.23,10.26,2290,10.25,10.29,10.26,10.26,10.26,10.25,10.29,10.26,10.26,10.26,62.5,54.76,48.81,0.03,0.04,-0.01,10.25,10.29,10.26,10.26,10.26
2025-07-10,10.4,10.43,10.38,10.43,4039,10.29,10.3,10.27,10.27,10.27,10.29,10.3,10.27,10.27,10.27,100.0,69.84,55.82,0.04,0.04,0.0,10.29,10.3,10.27,10.27,10.27
2025-07-11,10.54,10.59,10.53,10.59,3936,10.36,10.32,10.29,10.29,10.29,10.36,10.32,10.29,10.29,10.29,100.0,79.89,63.85,0.06,0.05,0.02,10.36,10.32,10.29,10.29,10.29
2025-07-14,10.5,10.5,10.46,10.49,3090,10.41,10.33,10.3,10.3,10.3,10.41,10.33,10.3,10.3,10.3,72.22,77.34,68.34,0.07,0.05,0.02,10.41,10.33,10.3,10.3,10.3
2025-07-15,10.69,10.8,10.69,10.79,6316,10.51,10.37,10.32,10.32,10.32,10.51,10.37,10.32,10.32,10.32,98.25,84.31,73.66,0.1,0.06,0.04,10.51,10.37,10.32,10.32,10.32
2025-07-16,10.67,10.68,10.62,10.68,8194,10.6,10.42,10.35,10.34,10.34,10.6,10.42,10.35,10.34,10.34,71.43,80.01,75.78,0.11,0.07,0.04,10.6,10.42,10.35,10.34,10.34
2025-07-17,10.9,10.94,10.9,10.94,5683,10.7,10.49,10.39,10.37,10.37,10.7,10.49,10.39,10.37,10.37,100.0,86.68,79.41,0.14,0.08,0.06,10.7,10.49,10.39,10.37,10.37
2025-07-18,11.13,11.2,11.11,11.19,12988,10.82,10.59,10.44,10.4,10.4,10.82,10.59,10.44,10.4,10.4,98.65,90.67,83.16,0.18,0.1,0.08,10.82,10.59,10.44,10.4,10.4
2025-07-21,11.22,11.34,11.22,11.31,24525,10.98,10.7,10.5,10.44,10.44,10.98,10.7,10.5,10.44,10.44,95.83,92.39,86.24,0.22,0.12,0.1,10.98,10.7,10.5,10.44,10.44
2025-07-22,11.14,11.14,11.0,11.0,26290,11.02,10.77,10.54,10.46,10.46,11.02,10.77,10.54,10.46,10.46,52.78,79.19,83.89,0.21,0.14,0.08,11.02,10.77,10.54,10.46,10.46
2025-07-23,10.99,10.99,10.93,10.94,13005,11.08,10.84,10.56,10.48,10.48,11.08,10.84,10.56,10.48,10.48,9.09,55.82,74.53,0.2,0.15,0.05,11.08,10.84,10.56,10.48,10.48
2025-07-24,11.02,11.03,10.99,11.01,7087,11.09,10.89,10.6,10.5,10.5,11.09,10.89,10.6,10.5,10.5,19.51,43.72,64.26,0.2,0.16,0.04,11.09,10.89,10.6,10.5,10.5
2025-07-25,10.93,10.97,10.92,10.94,7497,11.04,10.93,10.62,10.52,10.52,11.04,10.93,10.62,10.52,10.52,4.76,30.73,53.08,0.18,0.16,0.02,11.04,10.93,10.62,10.52,10.52
2025-07-28,11.12,11.17,11.1,11.17,10790,11.01,11.0,10.66,10.54,10.54,11.01,11.0,10.66,10.54,10.54,100.0,53.82,53.33,0.19,0.17,0.02,11.01,11.0,10.66,10.54,10.54
2025-07-29,11.19,11.2,11.16,11.18,9228,11.05,11.04,10.7,10.56,10.56,11.05,11.04,10.7,10.56,10.56,92.86,66.83,57.83,0.19,0.17,0.02,11.05,11.04,10.7,10.56,10.56
2025-07-30,10.97,11.0,10.96,10.99,10671,11.06,11.07,10.74,10.57,10.57,11.06,11.07,10.74,10.57,10.57,25.0,52.89,56.18,0.17,0.17,0.0,11.06,11.07,10.74,10.57,10.57
2025-07-31,11.15,11.23,11.15,11.21,11942,11.1,11.09,10.79,10.59,10.59,11.1,11.09,10.79,10.59,10.59,93.55,66.44,59.6,0.18,0.17,0.0,11.1,11.09,10.79,10.59,10.59
2025-08-01,11.03,11.15,10.99,11.11,16267,11.13,11.09,10.84,10.61,10.61,11.13,11.09,10.84,10.61,10.61,55.56,62.81,60.67,0.17,0.17,-0.0,11.13,11.09,10.84,10.61,10.61
2025-08-04,10.73,10.73,10.68,10.71,19952,11.04,11.03,10.86,10.61,10.61,11.04,11.03,10.86,10.61,10.61,5.45,43.69,55.01,0.12,0.16,-0.04,11.04,11.03,10.86,10.61,10.61
2025-08-05,10.99,11.05,10.99,11.02,10769,11.01,11.03,10.9,10.62,10.62,11.01,11.03,10.9,10.62,10.62,61.82,49.74,53.25,0.11,0.15,-0.04,11.01,11.03,10.9,10.62,10.62
2025-08-06,10.89,10.96,10.88,10.96,6360,11.0,11.03,10.93,10.63,10.63,11.0,11.03,10.93,10.63,10.63,50.91,50.13,52.21,0.1,0.14,-0.04,11.0,11.03,10.93,10.63,10.63
2025-08-07,11.15,11.16,11.08,11.1,7493,10.98,11.04,10.97,10.65,10.65,10.98,11.04,10.97,10.65,10.65,87.5,62.58,55.67,0.1,0.14,-0.04,10.98,11.04,10.97,10.65,10.65
2025-08-08,11.16,11.17,11.14,11.16,7183,10.99,11.06,11.0,10.66,10.66,10.99,11.06,11.0,10.66,10.66,97.96,74.38,61.9,0.11,0.13,-0.03,10.99,11.06,11.0,10.66,10.66
2025-08-11,11.24,11.29,11.23,11.26,9710,11.1,11.07,11.03,10.67,10.67,11.1,11.07,11.03,10.67,10.67,92.68,80.48,68.1,0.11,0.13,-0.01,11.1,11.07,11.03,10.67,10.67
2025-08-12,11.24,11.24,11.17,11.19,8534,11.13,11.07,11.05,10.69,10.69,11.13,11.07,11.05,10.69,10.69,75.61,78.86,71.68,0.11,0.13,-0.01,11.13,11.07,11.05,10.69,10.69
2025-08-13,11.35,11.38,11.33,11.37,9184,11.22,11.11,11.09,10.7,10.7,11.22,11.11,11.09,10.7,10.7,96.67,84.79,76.05,0.13,0.13,0.0,11.22,11.11,11.09,10.7,10.7
2025-08-14,11.45,11.47,11.43,11.46,5423,11.29,11.13,11.11,10.72,10.72,11.29,11.13,11.11,10.72,10.72,96.97,88.85,80.32,0.14,0.13,0.01,11.29,11.13,11.11,10.72,10.72
2025-08-15,11.42,11.45,11.39,11.44,5422,11.34,11.17,11.13,10.74,10.74,11.34,11.17,11.13,10.74,10.74,90.0,89.23,83.29,0.15,0.13,0.02,11.34,11.17,11.13,10.74,10.74
2025-08-18,11.43,11.44,11.4,11.4,5876,11.37,11.24,11.13,10.75,10.75,11.37,11.24,11.13,10.75,10.75,76.67,85.05,83.88,0.15,0.14,0.01,11.37,11.24,11.13,10.75,10.75
2025-08-19,11.43,11.44,11.4,11.41,5665,11.42,11.28,11.15,10.77,10.77,11.42,11.28,11.15,10.77,10.77,57.14,75.74,81.17,0.15,0.14,0.01,11.42,11.28,11.15,10.77,10.77
2025-08-20,11.06,11.07,11.04,11.05,12444,11.35,11.28,11.16,10.77,10.77,11.35,11.28,11.16,10.77,10.77,2.33,51.27,71.2,0.11,0.13,-0.02,11.35,11.28,11.16,10.77,10.77
2025-08-21,11.07,11.16,11.07,11.15,4263,11.29,11.29,11.16,10.78,10.78,11.29,11.29,11.16,10.78,10.78,26.83,43.12,61.84,0.09,0.12,-0.03,11.29,11.29,11.16,10.78,10.78
2025-08-22,11.13,11.15,11.1,11.1,4188,11.22,11.28,11.17,10.79,10.79,11.22,11.28,11.17,10.79,10.79,15.0,33.75,52.48,0.07,0.11,-0.04,11.22,11.28,11.17,10.79,10.79
2025-08-25,11.43,11.47,11.39,11.44,8078,11.23,11.3,11.19,10.8,10.8,11.23,11.3,11.19,10.8,10.8,93.02,53.51,52.82,0.08,0.11,-0.03,11.23,11.3,11.19,10.8,10.8
