ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-06-18,10.02,10.16,10.02,10.14,50995.0,85.71,85.71,85.71,0.0,0.0,0.0,10.14,10.14,10.14,10.14,10.14
2025-06-23,10.1,10.47,10.07,10.38,40613.0,80.0,83.81,85.08,0.02,0.0,0.02,10.26,10.26,10.26,10.26,10.26
2025-06-30,10.4,10.44,10.15,10.23,30754.0,46.67,71.43,80.53,0.02,0.01,0.02,10.25,10.25,10.25,10.25,10.25
2025-07-07,10.23,10.59,10.21,10.59,17814.0,100.0,80.95,80.67,0.06,0.02,0.04,10.34,10.34,10.34,10.34,10.34
2025-07-14,10.5,11.2,10.46,11.19,36271.0,99.15,87.02,82.79,0.13,0.04,0.09,10.51,10.51,10.51,10.51,10.51
2025-07-21,11.22,11.34,10.92,10.94,78404.0,68.5,80.85,82.14,0.16,0.06,0.1,10.67,10.58,10.58,10.58,10.58
2025-07-28,11.12,11.23,10.96,11.11,58898.0,80.67,80.79,81.69,0.2,0.08,0.11,10.81,10.65,10.65,10.65,10.65
2025-08-04,10.73,11.17,10.68,11.16,51757.0,84.07,81.88,81.75,0.22,0.11,0.11,11.0,10.72,10.72,10.72,10.72
2025-08-11,11.24,11.47,11.17,11.44,38273.0,97.03,86.93,83.48,0.26,0.14,0.13,11.17,10.8,10.8,10.8,10.8
2025-08-18,11.43,11.44,11.04,11.1,32436.0,53.16,75.68,80.88,0.26,0.16,0.1,11.15,10.83,10.83,10.83,10.83
2025-08-25,11.43,11.56,11.35,11.54,16526.0,97.73,83.03,81.59,0.29,0.18,0.11,11.27,10.97,10.89,10.89,10.89
2025-09-01,11.51,11.54,11.38,11.49,23316.0,92.05,86.03,83.07,0.3,0.21,0.1,11.35,11.08,10.94,10.94,10.94
2025-09-08,11.54,11.7,11.42,11.67,41222.0,95.45,89.17,85.11,0.32,0.23,0.1,11.45,11.22,11.0,11.0,11.0
2025-09-15,11.69,12.25,11.69,12.24,26825.0,99.17,92.51,87.57,0.38,0.26,0.13,11.61,11.39,11.09,11.09,11.09
2025-09-22,12.35,12.41,11.99,12.0,20882.0,61.32,82.11,85.75,0.4,0.28,0.12,11.79,11.47,11.15,11.15,11.15
